,gene,class,family,S27,S28,S21,S22
0,MER11B,LTR,ERVK,16639,16983,19738,12830
1,MER44B,DNA,TcMar-Tigger,1135,1105,1310,1019
2,UCON80_AMi,Unknown,Unknown,140,151,120,87
3,MSTA1,LTR,ERVL-MaLR,121,170,167,116
4,MLT1E1-int,LTR,ERVL-MaLR,0,8,0,0
5,UCON27,Unknown,Unknown,0,8,8,0
6,MER96B,DNA,hAT-Tip100,354,250,311,326
7,MLT1E2-int,LTR,ERVL-MaLR,68,59,118,20
8,UCON29,DNA,PiggyBac?,36,17,48,20
9,Zaphod2,DNA,hAT-Tip100,136,97,276,159
10,MER41E,LTR,ERV1,122,71,181,122
11,MER41D,LTR,ERV1,160,139,68,76
12,MER41G,LTR,ERV1,0,0,12,24
13,MLT2B3,LTR,ERVL,694,679,921,579
14,LTR82B,LTR,ERVL,316,112,203,195
15,UCON26,Unknown,Unknown,16,12,48,24
16,MER41C,LTR,ERV1,74,104,147,96
17,CR1-L3A_Croc,LINE,CR1,57,40,64,98
18,L1M4a2,LINE,L1,409,311,407,385
19,L1M4a1,LINE,L1,721,610,605,604
20,UCON19,Unknown,Unknown,0,0,0,8
21,MER96,DNA,hAT-Tip100,216,66,154,62
22,MER20B,DNA,hAT-Charlie,1083,1126,1359,1221
23,LTR82A,LTR,ERVL,247,213,388,259
24,MLT1E3,LTR,ERVL-MaLR,339,315,361,385
25,LTR35A,LTR,ERV1,16,8,68,8
26,LTR35B,LTR,ERV1,40,44,52,36
27,MER95,LTR,ERV1,86,16,72,44
28,MER44A,DNA,TcMar-Tigger,1766,2044,2768,2339
29,MSTB2,LTR,ERVL-MaLR,246,319,482,373
30,CER,Satellite,Satellite,64,60,51,77
31,AluYh7,SINE,Alu,6,6,22,5
32,Charlie15b,DNA,hAT-Charlie,616,576,765,573
33,LTR52-int,LTR,ERVL,28,52,68,32
34,Charlie15a,DNA,hAT-Charlie,1146,1125,1561,1546
35,LTR85c,LTR,Gypsy?,244,186,309,208
36,LTR85b,LTR,Gypsy?,101,73,129,88
37,LTR85a,LTR,Gypsy?,407,221,308,254
38,MER97b,DNA,hAT-Tip100,4,0,16,8
39,Tigger12c,DNA,TcMar-Tigger,224,227,318,303
40,AluYh9,SINE,Alu,2,2,14,5
41,LTR66,LTR,ERVL,48,67,36,44
42,LTR103_Mam,LTR,ERV1?,12,36,78,88
43,LTR61,LTR,ERV1,55,20,56,77
44,tRNA-Leu-TTA_m_,tRNA,tRNA,28,28,36,36
45,FordPrefect_a,DNA,hAT-Tip100,24,40,36,0
46,UCON67,Unknown,Unknown,0,4,8,0
47,LTR60,LTR,ERV1,6,18,0,12
48,tRNA-Leu-CTY,tRNA,tRNA,0,0,0,0
49,LTR60B,LTR,ERV1,19,11,20,4
50,UCON58,Unknown,Unknown,0,0,0,0
51,UCON59,Unknown,Unknown,0,4,20,24
52,UCON24,Unknown,Unknown,0,0,0,0
53,UCON57,Unknown,Unknown,0,0,0,0
54,UCON54,Unknown,Unknown,20,12,64,16
55,UCON55,DNA,TcMar-Tigger,32,104,142,79
56,UCON53,Unknown,Unknown,8,9,9,0
57,HERVKC4-int,LTR,ERVK,4,7,45,48
58,LSAU,Satellite,Satellite,4,0,4,0
59,Chap1_Mam,DNA,hAT-Charlie,493,319,491,486
60,LTR3,LTR,ERVK,213,121,338,177
61,X5B_LINE,LINE,CR1,44,50,16,32
62,AluSg7,SINE,Alu,1067,1201,1376,1132
63,AluYi6_4d,SINE,Alu,23,25,37,32
64,LTR4,LTR,ERV1,106,77,230,145
65,LTR5,LTR,ERVK,37,20,87,28
66,LTR8,LTR,ERV1,1385,1021,1528,1171
67,LTR9,LTR,ERV1,173,230,165,145
68,UCON66,Unknown,Unknown,0,0,0,0
69,ORSL,DNA,hAT-Tip100,90,151,247,264
70,X9_LINE,LINE,L1,559,419,596,521
71,MER57C2,LTR,ERV1,12,32,20,56
72,HERVH48-int,LTR,ERV1,174,127,298,186
73,MER57C1,LTR,ERV1,0,8,83,28
74,LTR13A,LTR,ERVK,90,142,210,187
75,hAT-16_Crp,DNA,hAT-Charlie,8,0,0,0
76,MSTB1-int,LTR,ERVL-MaLR,32,24,104,48
77,tRNA-Asn-AAT,tRNA,tRNA,0,0,0,0
78,L1PB3,LINE,L1,2689,4699,3251,2458
79,MER115,DNA,hAT-Tip100,544,607,539,333
80,Tigger13a,DNA,TcMar-Tigger,936,803,1123,903
81,MER117,DNA,hAT-Charlie,1326,978,1559,1180
82,MER110,LTR,ERV1,48,36,112,67
83,MER112,DNA,hAT-Charlie,1509,1045,2092,1576
84,L1PB1,LINE,L1,4230,4061,4188,3978
85,MER74A,LTR,ERVL,388,389,453,473
