id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj
MER84,162.1087949,241.5833199,82.63426985,0.342052878,-1.547708726,3.81E-06,0.003535146
LTR37-int,317.5187563,446.181632,188.8558806,0.423271303,-1.240345416,5.86E-06,0.003535146
MER102a,1040.201022,1258.623047,821.7789966,0.652919076,-0.615023903,9.63E-05,0.038754425
MLT1I-int,61.59125578,99.09344444,24.08906712,0.243094457,-2.040411094,0.000293968,0.088704919
MER4A1_,280.9207715,197.4521626,364.3893803,1.845456517,0.883977745,0.000855956,0.206627677
tRNA-Glu-GAG_,71.54505448,107.6980422,35.39206678,0.328623121,-1.605494106,0.001292462,0.223383396
LTR22A,31.79195596,54.93072421,8.653187705,0.157529103,-2.66630971,0.001295513,0.223383396
UCON73,78.26021518,114.3237579,42.19667242,0.369098018,-1.437924106,0.002143198,0.323354945
Alu,371.433445,288.5202756,454.3466144,1.57474761,0.655120622,0.002892046,0.387855547
ALR_Alpha,2217.124927,2686.24745,1748.002403,0.650722778,-0.61988504,0.005351404,0.645914426
HERVK22-int,761.2463428,646.8363822,875.6563034,1.353752398,0.436963893,0.007337184,0.663623954
LTR55,42.46874392,66.09843502,18.83905282,0.285015111,-1.810889683,0.007457819,0.663623954
MER4A,329.3284956,240.3655404,418.2914508,1.740230526,0.799278431,0.007728806,0.663623954
tRNA-Cys-TGY,10.45961586,19.96528471,0.953947018,0.047780286,-4.387440693,0.007984406,0.663623954
L1MA6,1152.956937,1300.787905,1005.125968,0.772705499,-0.372009429,0.008505731,0.663623954
LTR1B,390.2227017,310.7424026,469.7030008,1.511551037,0.596029691,0.008797004,0.663623954
MER65C,979.783134,1138.430254,821.1360141,0.721287941,-0.47135279,0.010040645,0.712885768
MamSINE1,3059.212898,2778.530424,3339.895371,1.202036639,0.265480871,0.012155339,0.717539666
MSTC-int,39.41930141,59.57997273,19.25863009,0.323239995,-1.629322379,0.012743512,0.717539666
LTR41B,759.8746295,649.8154897,869.9337693,1.338739662,0.420875435,0.0128913,0.717539666
MER67D,57.73652907,82.81825546,32.65480268,0.394294742,-1.342653623,0.012931412,0.717539666
LTR108a_Mam,26.00344291,42.76475619,9.24212963,0.216115569,-2.210125085,0.013667615,0.717539666
UCON81,6.378429683,0,12.75685937,Inf,Inf,0.014152592,0.717539666
tRNA-Val-GTG,9.795822522,0,19.59164504,Inf,Inf,0.014267566,0.717539666
L1ME4a,7799.459978,8421.352338,7177.567618,0.852305821,-0.230556909,0.015512464,0.723830721
MER88,12.96261269,23.31440678,2.610818598,0.111983059,-3.158647595,0.016019745,0.723830721
tRNA-Arg-CGG,5.524667669,11.04933534,0,0,#NAME?,0.016191739,0.723830721
L1P4a,96.37148809,133.6697082,59.07326802,0.441934593,-1.178095232,0.016951716,0.73074005
MLT-int,146.4198637,186.6271277,106.2125996,0.569116617,-0.813203791,0.021096778,0.869178773
L2,19859.23524,18642.69385,21075.77663,1.13051133,0.176975451,0.022564461,0.869178773
L1M3d,97.79651254,63.99635097,131.5966741,2.056315276,1.040061477,0.022890885,0.869178773
5S,879.9635571,1161.610287,598.3168271,0.515075352,-0.957144592,0.023043679,0.869178773
MER4A1,469.8326276,392.9706272,546.6946281,1.391184456,0.476313718,0.025386073,0.904116444
MamGypLTR2c,88.83856726,55.79533645,121.8817981,2.184444182,1.127266242,0.026064148,0.904116444
Tigger9a,241.2225743,289.4053812,193.0397674,0.667022039,-0.584193665,0.026673854,0.904116444
LTR26B,41.33870496,21.80076102,60.8766489,2.792409349,1.481510447,0.026966191,0.904116444
LTR28,32.71473637,15.51333532,49.91613741,3.217627697,1.685997405,0.028528827,0.910601196
UCON100,4.857861441,0,9.715722882,Inf,Inf,0.029217958,0.910601196
L1MEf,4811.251918,5443.243307,4179.26053,0.767788668,-0.381218827,0.029422905,0.910601196
L1M3e,404.5434263,346.6508348,462.4360178,1.334010974,0.415770535,0.03128243,0.943947324
L1M2a,686.4350094,787.7440001,585.1260187,0.74278702,-0.428979489,0.032426383,0.954601072
MLT1M,394.2084375,332.241579,456.175296,1.373022899,0.457355687,0.033747804,0.966582285
UCON44,11.87561806,1.862267896,21.88896821,11.75393092,3.55507142,0.034732052,0.966582285
LTR16B1,134.0515364,168.0065703,100.0965026,0.595789215,-0.747126087,0.035925733,0.966582285
LTR106_Mam,55.85963849,77.14826827,34.57100871,0.448111273,-1.158071074,0.036036622,0.966582285
Charlie4a,904.9992087,1021.188049,788.8103679,0.772443791,-0.37249814,0.037872215,0.989134757
MER53,495.5250149,564.5113789,426.5386509,0.755589111,-0.404326184,0.039343549,0.989134757
LTR14A,15.91768622,5.330841843,26.5045306,4.971922144,2.313803705,0.042007753,0.989134757
MER39,454.7405699,379.5373996,529.9437401,1.396288589,0.481597153,0.042806672,0.989134757
LTR53-int,123.9813069,94.47923314,153.4833806,1.624519755,0.700013287,0.042886197,0.989134757
LTR77,9.190784895,1.823193104,16.55837669,9.082075098,3.183021966,0.044460472,0.989134757
LTR43-int,26.99772049,12.88451118,41.11092981,3.190724835,1.673884197,0.04524078,0.989134757
LTR16C,868.7357951,769.4919305,967.9796597,1.257946473,0.331070535,0.0459233,0.989134757
MER51-int,197.2125012,152.0131888,242.4118137,1.594676196,0.67326351,0.047276557,0.989134757
L1MDb,260.0050159,207.1150211,312.8950107,1.510730651,0.595246465,0.047766354,0.989134757
Charlie9,462.1770627,539.8568561,384.4972692,0.712220776,-0.489603573,0.048421924,0.989134757
MER4-int,826.0850568,917.0654242,735.1046894,0.801583693,-0.319074935,0.051530408,0.989134757
Tigger14a,353.1642991,407.6034473,298.725151,0.732881807,-0.448347543,0.052608723,0.989134757
MER117,982.3803687,895.2547359,1069.506002,1.194638753,0.256574428,0.054316721,0.989134757
MLT1H2,2441.078234,2186.072251,2696.084217,1.233300599,0.302524478,0.054820956,0.989134757
MamGypsy2-I,245.6609893,301.9454345,189.3765442,0.62718797,-0.673030207,0.056338616,0.989134757
UCON28c,6.524460635,0.620755965,12.42816531,20.0210163,4.323443305,0.056821579,0.989134757
MER83B-int,55.12309281,74.87404303,35.3721426,0.472421966,-1.081852049,0.056951907,0.989134757
LTR48B,482.9093705,557.1235597,408.6951813,0.733580862,-0.446972093,0.057019906,0.989134757
MER47C,229.0276351,167.1807412,290.874529,1.739880604,0.798988308,0.057104254,0.989134757
LTR1F2,58.0021529,77.8303996,38.17390621,0.490475526,-1.027746944,0.057667286,0.989134757
MLT1A1-int,186.2687677,142.6287128,229.9088226,1.611939266,0.688797388,0.058406116,0.989134757
BSR_Beta,224.2505426,177.4659559,271.0351294,1.527251399,0.610937562,0.060658634,0.989134757
ERV3-16A3_LTR,166.4945693,134.2529375,198.736201,1.480311752,0.565901038,0.061116765,0.989134757
MER70C,24.62016183,36.99904549,12.24127818,0.330853891,-1.595733847,0.06619291,0.989134757
LTR49,187.2169476,225.8004912,148.6334039,0.658251021,-0.60329024,0.067565409,0.989134757
Eulor2C,5.107213583,10.21442717,0,0,#NAME?,0.06897735,0.989134757
L1PA17,1098.188547,1199.746148,996.6309465,0.830701518,-0.267597904,0.072626056,0.989134757
MER76-int,38.60775599,22.18613726,55.02937472,2.480349512,1.310543428,0.074377405,0.989134757
UCON27,6.335216098,11.80015933,0.870272866,0.073750942,-3.761194714,0.074672789,0.989134757
MER91C,247.3590452,303.6336452,191.0844452,0.629325663,-0.668121319,0.076648792,0.989134757
LTR27,22.32456159,33.41068231,11.23844086,0.336372683,-1.571867546,0.07783707,0.989134757
MER1B,1944.353594,1796.289668,2092.41752,1.164855289,0.220150738,0.07898548,0.989134757
MER34-int,803.5562045,679.4821369,927.6302721,1.365201853,0.449114277,0.079229263,0.989134757
MER92D,26.26927717,13.14209742,39.39645692,2.997729788,1.583870346,0.079932012,0.989134757
MamRTE1,6947.754971,6387.817682,7507.692259,1.175314111,0.233046379,0.080214753,0.989134757
UCON22,3.373932801,6.747865601,0,0,#NAME?,0.080962258,0.989134757
LTR7A,30.4102291,15.98730583,44.83315237,2.804296912,1.487639106,0.082883318,0.989134757
UCON46,6.823467866,13.64693573,0,0,#NAME?,0.084272789,0.989134757
Tigger17b,25.88287005,14.78047211,36.98526798,2.502306266,1.323258377,0.086844625,0.989134757
Tigger7,1354.931838,1243.835725,1466.027951,1.178634704,0.237116651,0.086949245,0.989134757
LTR52,130.1691918,103.2900822,157.0483013,1.520458672,0.604506603,0.086951833,0.989134757
L2a,59091.23675,56492.82678,61689.64672,1.091990793,0.126960693,0.08701579,0.989134757
MER50C,31.90078759,16.25866582,47.54290936,2.9241581,1.548021316,0.087238526,0.989134757
FLAM_A,2041.720632,1911.560774,2171.880489,1.136181763,0.184193651,0.087852551,0.989134757
L2c,46946.94531,44899.38092,48994.50969,1.091206798,0.125924537,0.08785893,0.989134757
L1ME3D,1441.955984,1551.266779,1332.645189,0.859068993,-0.219154094,0.088764764,0.989134757
L1M2b,52.18785526,68.51965544,35.85605508,0.523295905,-0.934301126,0.090158538,0.989134757
MER97a,7.44137671,13.14220769,1.740545732,0.132439372,-2.916596021,0.091211555,0.989134757
L1MCc,592.4882457,668.2498355,516.7266558,0.773253697,-0.370986269,0.091843328,0.989134757
U2,314.3123517,375.9138577,252.7108457,0.672257328,-0.572914518,0.091930061,0.989134757
MST-int,183.1618274,220.1658506,146.1578042,0.663853199,-0.591063848,0.092036594,0.989134757
LTR6B,357.1842543,308.9543828,405.4141257,1.312213545,0.392002518,0.093375448,0.989134757
OldhAT1,3207.202252,3016.806064,3397.59844,1.126223684,0.171493396,0.094840829,0.989134757
DNA1_Mam,21.26403565,9.50549575,33.02257555,3.474050846,1.796618869,0.096685986,0.989134757
Chap1_Mam,429.3587601,371.3974991,487.320021,1.312125209,0.391905395,0.096889791,0.989134757
LTR16D2,32.50675371,19.46604916,45.54745826,2.339840914,1.226410444,0.099324473,0.989134757
ACRO1,6.624694977,1.624030969,11.62535899,7.158335775,2.839624218,0.099684842,0.989134757
LTR10A,161.7154109,134.2389962,189.1918256,1.409365616,0.495045923,0.099772141,0.989134757
LTR7B,240.6554222,207.3524329,273.9584115,1.321221109,0.401871925,0.100104677,0.989134757
U6,275.9190687,317.9158839,233.9222534,0.735799201,-0.442615985,0.103253537,0.989134757
MER91B,221.474633,180.4206437,262.5286223,1.455091928,0.541110301,0.103611271,0.989134757
L4_A_Mam,1327.261372,1432.113812,1222.408932,0.853569683,-0.228419159,0.103828223,0.989134757
L1MA4,2556.872921,2724.298547,2389.447294,0.877087166,-0.189207867,0.105509763,0.989134757
LTR46,119.991703,145.9766493,94.00675664,0.643984891,-0.634901254,0.106657558,0.989134757
L1MEc,4404.677218,4641.816479,4167.537957,0.897824801,-0.155494146,0.107194401,0.989134757
MER68C,27.79081901,15.12057696,40.46106106,2.675893993,1.420020964,0.10756997,0.989134757
MLT1F-int,138.2646984,113.615547,162.9138498,1.43390455,0.519948992,0.10805788,0.989134757
HERVIP10FH-int,208.7108807,173.2075021,244.2142593,1.409951973,0.495646021,0.108184248,0.989134757
THE1A,1314.734717,1209.284867,1420.184566,1.174400345,0.231924297,0.109401283,0.989134757
LTR45,9.064348022,2.171376758,15.95731929,7.348940818,2.877536333,0.110245648,0.989134757
MER104,581.7640572,644.4585789,519.0695356,0.805435062,-0.312159818,0.111980325,0.989134757
HERV1_LTRd,10.96061194,3.857118721,18.06410516,4.683315828,2.227530332,0.111989022,0.989134757
MER126,46.60878371,61.28076111,31.93680631,0.52115551,-0.940214166,0.116223277,0.989134757
MER47B,133.9160277,107.1427857,160.6892697,1.499767518,0.584738883,0.116321118,0.989134757
MER65-int,123.3755532,145.4078209,101.3432856,0.696958973,-0.520854361,0.116504681,0.989134757
LTR22E,113.8351479,87.64385416,140.0264417,1.597675537,0.675974449,0.120460054,0.989134757
L1PA13,2089.103318,2219.817265,1958.389371,0.882229993,-0.180773286,0.120629277,0.989134757
LTR33,1186.288608,1100.431814,1272.145403,1.156042007,0.209193822,0.121325689,0.989134757
MLT1O,719.2396661,795.362137,643.1171951,0.808584122,-0.306530221,0.12145765,0.989134757
MLT1G,497.0313184,447.274106,546.7885307,1.222490914,0.289823743,0.122308039,0.989134757
L5,159.0741376,193.5155719,124.6327032,0.644044828,-0.634766986,0.123770458,0.989134757
L1PB3,1815.927492,2090.803209,1541.051775,0.737062086,-0.440141945,0.124546318,0.989134757
LTR6A,120.4998144,94.87376441,146.1258644,1.540213623,0.623130462,0.125091006,0.989134757
LTR1F1,37.62682088,24.49516841,50.75847335,2.072183073,1.051151468,0.125509134,0.989134757
MamGypLTR1b,1114.883188,998.4365185,1231.329857,1.233258033,0.302474685,0.127215176,0.989134757
MER4B,950.4908502,1040.827228,860.1544722,0.826414268,-0.275062932,0.127638105,0.989134757
AluSz6,6341.808496,5984.763371,6698.853621,1.119318042,0.162620021,0.12852914,0.989134757
LTR16D,107.1793555,127.5326597,86.8260512,0.680814243,-0.554666876,0.128615281,0.989134757
LTR22B1,128.5593084,155.9370385,101.1815783,0.648861741,-0.624016992,0.128792686,0.989134757
MER66-int,150.5803545,122.7265303,178.4341787,1.453916918,0.539944831,0.129107315,0.989134757
L1M6,695.0987482,770.4796083,619.7178881,0.804327436,-0.314145162,0.129381818,0.989134757
Penelope1_Vert,312.8019601,270.3039944,355.2999258,1.31444571,0.394454556,0.131040647,0.989134757
MER97c,11.38705868,18.58385318,4.190264175,0.22547876,-2.148936555,0.131714007,0.989134757
X7B_LINE,169.0839076,140.8327425,197.3350726,1.40120166,0.486664603,0.133036122,0.989134757
HERV9N-int,92.00337271,72.70230004,111.3044454,1.530961817,0.614438302,0.1337283,0.989134757
AmnSINE2,205.9431735,178.2996913,233.5866556,1.310078856,0.389653652,0.135365757,0.989134757
UCON12,2.73624478,5.47248956,0,0,#NAME?,0.135651061,0.989134757
L1M2c,228.675918,178.5411997,278.8106363,1.561603914,0.643028574,0.136078985,0.989134757
MER57E3,190.7093176,158.2288541,223.1897811,1.410550448,0.496258265,0.136460342,0.989134757
MER21C,2382.013059,2239.541986,2524.484132,1.12723233,0.172784896,0.136497456,0.989134757
LTR105_Mam,92.72147854,64.58245321,120.8605039,1.87141395,0.904128713,0.136613267,0.989134757
LTR23-int,10.10844304,15.99898183,4.217904243,0.263635792,-1.923381847,0.137089316,0.989134757
Tigger17c,339.5557785,290.9094854,388.2020715,1.334442811,0.416237479,0.138128112,0.989134757
HSAT5,48.82949932,33.04403493,64.61496371,1.955419907,0.967478445,0.138390292,0.989134757
MER52A,601.7014393,550.2318163,653.1710623,1.187083413,0.247421312,0.139844477,0.989134757
LTR103_Mam,28.5645318,39.43789461,17.69116898,0.448582998,-1.156553155,0.141149959,0.989134757
tRNA-Leu-TTA_m_,85.67049307,111.2638412,60.07714495,0.539952102,-0.88909666,0.14211572,0.989134757
LTR88a,94.1979953,75.49850321,112.8974874,1.495360604,0.580493431,0.142143377,0.989134757
