id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj
7SK,98812.0996068204,153305.337640063,44318.8615735777,0.289088835756205,-1.79041520004737,3.4030583224173e-06,0.00302647666625376
tRNA-Glu-GAG_,215.350251506355,372.137072193086,58.5634308196229,0.157370590558193,-2.66776213993878,5.09079338310136e-06,0.00302647666625376
5S,2506.35971019428,4545.65139224164,467.068028146922,0.102750516448335,-3.28278244963657,7.71005793425522e-06,0.00305575296127649
MER11B,23773.0429794384,34094.3053609206,13451.7805979561,0.394546257961741,-1.34173363819827,1.95605362068895e-05,0.00581436938749791
MLT1B,10633.0642696398,14770.5559077039,6495.57263157571,0.439764939936202,-1.18519550432885,2.85249724550056e-05,0.00678323844980034
7SLRNA,99550.2875260695,145615.37657556,53485.1984765788,0.367304605697498,-1.44495110849576,4.01083153572067e-05,0.00794813115995313
L1MEf,5323.91890621863,3621.49210308815,7026.34570934911,1.94017976826666,0.956190332191431,6.15601066787091e-05,0.0104564238344265
MamGypLTR1b,1281.86538256202,627.005912964443,1936.72485215959,3.0888462327299,1.62706805329003,0.000119124265570922,0.0177048439704783
MER131,433.384813213764,219.631603516281,647.138022911246,2.94647041933233,1.55898778253204,0.000201061123217675,0.0265624083895351
tRNA-Leu-TTA_m_,129.520604376304,224.65755719133,34.3836515612776,0.153049165098838,-2.70793292007179,0.000270196768296865,0.0321263957504973
U1,334.372089036526,514.149883070013,154.594295003039,0.300679432386426,-1.73370190941292,0.000359525196504664,0.0388614053312769
HY5,79.051470760307,142.023347394484,16.0795941261298,0.113217963251261,-3.14282521942501,0.000702560564051782,0.0637425373636997
L1MEd,4538.58463903285,3526.5444460541,5550.62483201159,1.57395572831139,0.654394961783227,0.00072989726424569,0.0637425373636997
FordPrefect_a,32.4042136967285,64.808427393457,0,0,-Inf,0.000793779394771803,0.0637425373636997
MLT1G1,1018.60025809044,1349.80564452615,687.394871654742,0.509254702291642,-0.973540698259748,0.000841227386412883,0.0637425373636997
U17,3675.5204859037,5594.1218403667,1756.91913144069,0.314065224458093,-1.67086388853986,0.000857763328695706,0.0637425373636997
L1M5,12586.1966272705,10296.9059341766,14875.4873203643,1.44465603701311,0.53072603752477,0.00131707830905677,0.0921180064393232
UCON39,193.906675643214,308.165283895385,79.6480673910433,0.258458923030674,-1.9519930841689,0.00161178697094894,0.106467483803238
U3,11673.5594103076,16399.7895693492,6947.32925126607,0.423623072838108,-1.23914692632528,0.00237290961910398,0.148494186163928
L1ME4a,10465.7831890237,8600.56797996442,12330.9983980829,1.43374233269347,0.519785771078282,0.00311445242149234,0.185154196457719
L1MB4,4559.48111599341,3712.01073976846,5406.95149221835,1.45660987299719,0.542614528975445,0.00364273464362986,0.186272794162079
MER4D0,140.089460569814,57.2602366259277,222.918684513701,3.89308004383555,1.96091200758205,0.00367865978889339,0.186272794162079
MER34-int,674.437649930051,392.791501539871,956.083798320232,2.43407455245867,1.2833733565542,0.00378535212804652,0.186272794162079
MADE2,567.727451389869,771.472391965539,363.9825108142,0.471802380234053,-1.08374539792253,0.00381091285789076,0.186272794162079
HERV3-int,332.546840842632,478.83718850856,186.256493176704,0.388976666070653,-1.36224448145955,0.0039165852431051,0.186272794162079
Tigger18a,496.158628056643,317.292856642323,675.024399470962,2.12744909108339,1.0891246092695,0.00467706283163725,0.213885681031411
LTR15,232.840560026527,121.615675368576,344.065444684479,2.82912086490277,1.50035381246095,0.00498765728668408,0.219641648661754
SSU-rRNA_Hsa,7846.67078830934,11689.3654166599,4003.97615995875,0.342531524786811,-1.54569132269556,0.00554225880545698,0.235348061417441
Charlie21a,570.918850537309,372.136221351351,769.701479723266,2.06833260392719,1.04846820086213,0.00575260465371281,0.235856790802225
MER97a,23.6541722942229,47.3083445884459,0,0,-Inf,0.00601750222511969,0.238493671522244
MLT2D,846.865608757982,1096.13168444752,597.599533068447,0.545189543872783,-0.87517020176027,0.00776902847459212,0.297979834073872
MLT1H2,3607.36515600659,4782.80066662692,2431.92964538626,0.508473970566158,-0.975754172321372,0.00841372968570794,0.306910063827228
GSATX,39.6943005861794,79.3886011723588,0,0,-Inf,0.00851810942497774,0.306910063827228
UCON107,47.4256618930508,8.09073981758092,86.7605839685207,10.7234425929743,3.42269622964762,0.00995672676095007,0.339904023880491
HERVH48-int,146.712651332612,237.526724125532,55.8985785396916,0.235335955335069,-2.08720633819778,0.0100428896583388,0.339904023880491
MLT1N2-int,21.038464410508,42.0769288210161,0,0,-Inf,0.0104841166019766,0.339904023880491
HAL1,8613.10358800703,7377.36011672819,9848.84705928586,1.3350096651719,0.416850186740618,0.0113919872101641,0.339904023880491
L1M3,1395.9758869196,1081.83599664268,1710.11577719652,1.58075325881521,0.660612193715105,0.011480124097394,0.339904023880491
U4,183.480913690451,304.379760350236,62.5820670306654,0.205605218161205,-2.28205121498709,0.0116933587338123,0.339904023880491
tRNA-Glu-GAA,51.0815138174001,93.4438139651998,8.71921366960042,0.0933096938107387,-3.42182922138576,0.0117915380762994,0.339904023880491
tRNA-Arg-AGG,20.7974823734613,41.5949647469226,0,0,-Inf,0.012006466672514,0.339904023880491
L1M3de,148.070172841974,230.529835637958,65.6105100459899,0.284607455969515,-1.81295463769849,0.0120067022733226,0.339904023880491
MER4-int,1030.37409776248,789.693293777352,1271.05490174762,1.60955514218408,0.68666200334108,0.0128871274118131,0.34644564686897
L1ME3Cz,3702.13218462348,3068.94188299139,4335.32248625557,1.41264404851805,0.498397987872312,0.0130429675734085,0.34644564686897
L1MC5a,8184.26256215661,6992.81918605693,9375.70593825629,1.34076195720184,0.423053119681766,0.0133159248645742,0.34644564686897
Eulor6E,19.769018055232,39.5380361104641,0,0,-Inf,0.0134213454571843,0.34644564686897
Charlie1b,1109.35433449851,851.420279410205,1367.28838958681,1.60589126504476,0.683374211229159,0.0136946555112208,0.34644564686897
MER58D,769.516863740924,554.883650714939,984.150076766909,1.77361519932851,0.826693038816906,0.0150638865383137,0.373145022792813
Charlie19a,525.306486356459,364.084993474612,686.527979238305,1.8856255861756,0.915043239855901,0.0164642892267491,0.395489266088123
MER91A,666.13507432101,838.17884939035,494.09129925167,0.589481946020289,-0.762480466221515,0.0166311718287688,0.395489266088123
Tigger4a,1303.55228727918,1047.76203052766,1559.34254403071,1.48826021424485,0.573626795921421,0.017922757590898,0.417846250501523
MER34B,262.91980636576,148.626048919553,377.213563811967,2.53800438452173,1.34369456150459,0.0189045837647831,0.432260578775522
HERV9NC-int,204.89747903985,302.571290718125,107.223667361576,0.354374888334881,-1.49665171943211,0.0194257620886851,0.435796813649935
L1MC4a,5673.48654174146,4800.19129325604,6546.78179022689,1.3638585194354,0.447693993412332,0.0203915267715996,0.448991209841333
MER5A,9802.13334913544,8368.4868869286,11235.7798113423,1.34262979235736,0.425061560642146,0.0208370952982271,0.450460114719855
L1P4,639.039870928464,461.566274960434,816.513466896494,1.76900590704225,0.822938865465528,0.0215054556525295,0.455399571424739
HERVK-int,243.641144792637,346.231086489674,141.051203095599,0.407390348814926,-1.29551629200568,0.0221393742957702,0.455399571424739
HY1,401.829327163962,530.515751762439,273.142902565486,0.514862945460284,-0.957739651367525,0.0229999375314605,0.455399571424739
LTR67B,496.422374876015,361.36612912384,631.478620628191,1.74747595232364,0.805272602266156,0.0230273756057005,0.455399571424739
MST-int,245.741386324353,409.854318866227,81.6284537824792,0.199164556831526,-2.3279671655184,0.0233428315504677,0.455399571424739
LTR27C,158.500904671784,239.395778733601,77.6060306099668,0.32417459915334,-1.6251570426228,0.0233636449595535,0.455399571424739
Merlin1_HS,29.7899614916939,2.68988892748834,56.8900340558995,21.1495848302629,4.40255743817587,0.0237766202354942,0.455974217096815
tRNA-Ala-GCG,18.5008887646508,37.0017775293016,0,0,-Inf,0.0246242231797741,0.45898866583622
L2b,55264.9418922113,71048.6337019222,39481.2500825003,0.555693305069598,-0.84763923592175,0.0247058659491321,0.45898866583622
L1M6B,265.191191393948,156.568426649587,373.813956138309,2.38754367108086,1.25552712203868,0.0252747022511362,0.462332630409244
tRNA-Tyr-TAC,17.3425012646011,34.6850025292021,0,0,-Inf,0.0257285711892309,0.463504108242358
X7A_LINE,164.157812465123,95.8712223996578,232.444402530588,2.42454822951561,1.27771595234878,0.0262093040861184,0.465117351617833
L1M4,6632.57492115167,5804.74829995061,7460.40154235273,1.28522395060888,0.362019771311554,0.0267366463804837,0.467498125682281
LTR24B,219.274968051018,131.525421335826,307.02451476621,2.3343359150493,1.22301218234135,0.0277137038809877,0.473665848245211
LTR46,208.988028296452,317.180439920311,100.795616672594,0.317786357500224,-1.65387090345844,0.0278861306788602,0.473665848245211
L1ME2,4855.95237007957,4134.07925979683,5577.82548036232,1.3492304162152,0.432136747059114,0.0284521519277496,0.476473361156258
Charlie5,559.455090657999,422.942118539757,695.968062776242,1.64553973763391,0.718560866082536,0.0307364962645248,0.500992668697089
MER70-int,130.877503108138,201.52575255587,60.2292536604065,0.298866288285954,-1.74242792274788,0.030759011618913,0.500992668697089
MER1B,2468.00268601121,2870.37717148176,2065.62820054066,0.719636506680527,-0.47465971948331,0.0313661241469718,0.503977319064182
Charlie4a,1189.66204617671,934.539087410534,1444.78500494289,1.54598670553863,0.628527913094612,0.0321139667344089,0.509113419296162
LSU-rRNA_Hsa,9227.85858793517,14623.7068352679,3832.01034060248,0.262040971127844,-1.93213569449193,0.0326886492290026,0.509692551062644
MLT1D-int,923.557976288585,715.301670856758,1131.81428172041,1.58228944211017,0.662013530595653,0.0330866607450291,0.509692551062644
X7B_LINE,119.633830892903,58.451550743346,180.81611104246,3.09343565299752,1.62921002455543,0.0338537750953634,0.509692551062644
tRNA-Leu-TTG,15.8162680959414,31.6325361918828,0,0,-Inf,0.0338651905247677,0.509692551062644
LTR13_,97.4181964489723,152.414206594092,42.4221863038526,0.278334856387967,-1.84510650354031,0.0347959446897754,0.512200025475601
L1MA7,2063.72006580318,1706.00009201678,2421.44003958958,1.4193668868605,0.505247554471869,0.0349203274432852,0.512200025475601
HERV9-int,151.70780227491,225.747923550213,77.6676809996073,0.344046048256705,-1.53932642197875,0.0353501933994097,0.512200025475601
Tigger12c,191.842756346934,100.35641031231,283.329102381559,2.82322874542679,1.49734602447424,0.0357549218792892,0.512200025475601
HUERS-P3-int,534.996657852874,372.588359160424,697.404956545323,1.87178407322448,0.904414016942878,0.0370793597796407,0.524849509261819
HAL1b,1126.854680492,880.029324688053,1373.68003629595,1.56094802497961,0.64242250057493,0.0376892407729734,0.527205967989004
L1M3b,99.4195881052463,47.5199257813404,151.319250429152,3.18433263396574,1.67099104703339,0.0385577026380267,0.527782060651299
