,gene,class,family,S35,S36,S31,S32
0,MER11B,LTR,ERVK,23389,29047,12480,10013
1,MER44B,DNA,TcMar-Tigger,908,822,1264,537
2,UCON80_AMi,Unknown,Unknown,116,156,126,213
3,MSTA1,LTR,ERVL-MaLR,120,200,86,138
4,MLT1E1-int,LTR,ERVL-MaLR,24,0,0,0
5,UCON27,Unknown,Unknown,0,4,8,16
6,MER96B,DNA,hAT-Tip100,333,216,455,319
7,MLT1E2-int,LTR,ERVL-MaLR,12,44,50,18
8,UCON29,DNA,PiggyBac?,80,20,107,27
9,Zaphod2,DNA,hAT-Tip100,129,116,252,94
10,MER41E,LTR,ERV1,219,163,100,62
11,MER41D,LTR,ERV1,40,62,128,44
12,MER41G,LTR,ERV1,0,48,4,19
13,MLT2B3,LTR,ERVL,763,791,913,304
14,LTR82B,LTR,ERVL,171,219,330,187
15,UCON26,Unknown,Unknown,46,36,136,12
16,MER41C,LTR,ERV1,94,57,130,36
17,CR1-L3A_Croc,LINE,CR1,16,16,64,18
18,L1M4a2,LINE,L1,235,407,515,384
19,L1M4a1,LINE,L1,384,528,940,405
20,UCON19,Unknown,Unknown,0,0,0,0
21,MER96,DNA,hAT-Tip100,60,143,107,59
22,MER20B,DNA,hAT-Charlie,882,1112,1454,720
23,LTR82A,LTR,ERVL,199,268,337,144
24,MLT1E3,LTR,ERVL-MaLR,256,324,402,265
25,LTR35A,LTR,ERV1,0,4,20,0
26,LTR35B,LTR,ERV1,16,8,44,20
27,MER95,LTR,ERV1,31,90,16,35
28,MER44A,DNA,TcMar-Tigger,1238,1576,1864,1423
29,MSTB2,LTR,ERVL-MaLR,162,373,430,153
30,CER,Satellite,Satellite,44,89,98,27
31,AluYh7,SINE,Alu,8,4,6,7
32,Charlie15b,DNA,hAT-Charlie,526,439,723,316
33,LTR52-int,LTR,ERVL,16,24,24,0
34,Charlie15a,DNA,hAT-Charlie,528,642,1257,826
35,LTR85c,LTR,Gypsy?,103,191,252,143
36,LTR85b,LTR,Gypsy?,116,49,121,87
37,LTR85a,LTR,Gypsy?,326,464,313,219
38,MER97b,DNA,hAT-Tip100,0,16,0,4
39,Tigger12c,DNA,TcMar-Tigger,171,354,441,115
40,AluYh9,SINE,Alu,1,0,5,17
41,LTR66,LTR,ERVL,44,31,117,27
