id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj
LSU-rRNA_Hsa,8477.21537331662,13902.413216015,3052.01753061827,0.219531493072187,-2.18750017726814,1.23480468904776e-36,1.44966070494207e-33
SSU-rRNA_Hsa,7780.55514376377,12372.575050548,3188.53523697949,0.257709912766967,-1.95618006360874,3.70472887378277e-28,2.17467584891049e-25
MER11B,18810.0340267057,26907.0416029529,10713.0264504586,0.398149547934059,-1.32861767532767,9.6715684883637e-15,3.78480713511299e-12
7SLRNA,77859.3691351945,113122.951131827,42595.787138562,0.376544164666666,-1.40910900712477,3.30958318840498e-11,9.71362665796861e-09
MamGypLTR1b,963.101605465765,383.862619489312,1542.34059144222,4.01794942548492,2.00645940477272,5.1751592128245e-08,1.21512738317119e-05
5S,824.625163567129,1277.28941500847,371.960912125784,0.291211144283472,-1.77986252817336,6.60013180799777e-08,1.29142579043156e-05
L1MEf,4198.31340468028,2802.29906603513,5594.32774332544,1.99633501332199,0.997353845676103,7.30821155268527e-07,0.00012256914804075
U17,2529.72182724445,3660.16331658995,1399.28033789894,0.382299973216114,-1.38722299578982,6.16629722867989e-05,0.00904904118308774
MLT1B,8499.01600429028,11825.3167998511,5172.7152087295,0.43742719931145,-1.19288516464371,7.99374264966747e-05,0.0104273931896773
MER124,312.587635633363,481.847555479765,143.327715786962,0.297454483595446,-1.74925917038272,9.54905571045703e-05,0.0112105914040766
7SK,90660.9003918902,146023.038817088,35298.7619666921,0.241734196553108,-2.04850651873109,0.000173672949726428,0.0185356402708025
HERVK-int,256.348919368713,400.386726141102,112.311112596323,0.280506583419409,-1.8338934639639,0.000190120789417883,0.0186001505647162
LTR48B,720.948249343154,969.317935958362,472.578562727946,0.487537210647721,-1.03641575998775,0.000213220936733697,0.0192554907481047
HERV3-int,300.288787060917,452.258887965621,148.318686156213,0.327950848734868,-1.60844848614155,0.000273463631107008,0.0229318787799734
LTR13,1023.92542038257,1354.60050282269,693.250337942454,0.511774753145206,-0.966419116737466,0.000385822131098794,0.0301970121273323
L1M4c,2698.92612593358,3329.29774565298,2068.55450621418,0.621318567531267,-0.686594926355376,0.000570173188809471,0.0418364577288949
HERVL18-int,330.897391597539,501.246586055122,160.548197139956,0.320297836646612,-1.64251404098252,0.000680273736343764,0.0469789039098576
LTR54B,245.409762811274,113.091950972022,377.727574650526,3.34000405337398,1.73984985353136,0.000751198093206282,0.0489948089680097
MER84,255.196358577789,394.625667455855,115.767049699723,0.293359148293803,-1.76926011227877,0.000894293526066028,0.0552579262948167
Charlie18a,1032.22899839613,682.679512028887,1381.77848476337,2.02405149182931,1.01724599263195,0.00474494652134292,0.27852836080283
HAL1,6712.71112711926,5583.35470126812,7842.06755297041,1.40454403715194,0.490101858486911,0.00541545126264372,0.302749513444939
