,0,S1,S2,S4,S5,S8,S11,S12,S13,S14,S15
0,srpRNA,84698.112034,47145.4905257,42489.616165199994,44842.23647719999,79129.6597916,42142.833127900005,57181.612400800004,48617.048954000005,70821.50108069999,61816.3092178
1,LTR,211830.641556,167725.233848,260130.26256799998,172427.960257,210469.652523,146955.202284,190696.402774,170488.917001,219936.879802,155772.992719
2,Satellite,3967.21190988,3621.50373253,4231.61424768,2628.33842288,3914.97116168,3226.00182831,3437.58756394,3554.08350442,4808.43802276,3339.99283576
3,rRNA,36059.264734300006,33585.0066412,64051.001996000006,44496.7672627,26834.0,8270.89583333,156721.333333,30037.1333333,28640.5,49412.7
4,DNA,151826.215016,128304.40091,210293.68984500002,126851.63648399999,161388.543427,118640.270907,149901.749573,142206.668053,171035.41659100002,121495.229325
5,snRNA,12203.448717899999,6947.39934392,11511.1686627,10092.0838881,11103.234505299999,4687.88793103,8469.20008067,6555.22344828,17103.1119086,9535.5
6,SINE?,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
7,Unknown,1697.00201207,1337.0,2349.0,1182.0,1799.0,1072.0,1332.00470477,1657.00247525,1898.00469484,1396.0
8,RNA,76794.7344988,42979.8857143,50063.7053571,49558.203968300004,73267.2428571,33031.6095238,43618.2357143,37835.0844988,72270.9004329,74081.25
9,DNA?,947.0,757.0,1021.0,701.0,857.001356852,724.0,827.0,756.002475248,820.0,682.0
10,LTR?,1674.00393885,1509.00678552,2031.00698155,1237.0031348,1488.03099425,1070.00823394,1388.00672497,1394.00585363,1457.03282291,946.0
11,RC?,416.0,248.0,255.001996008,301.0,304.0,318.0,242.0,438.0,314.0,278.0
12,tRNA,889.0,735.5,843.001996008,632.0,551.0,609.0,758.0,589.0,678.0,609.0
13,RC,399.50192678199994,269.0,575.003992016,443.0,361.004070556,151.0,315.004704766,274.003378378,321.0,237.0
14,LINE,522801.494119,453985.818683,779213.370479,471704.74243199994,547041.622451,404038.943127,514903.63415600004,490388.301573,609517.188618,424834.331747
15,SINE,330844.331834,269831.35668699996,390148.263556,255933.13990100002,330542.24182199995,243915.61947600002,325619.117382,295690.46142199996,328788.698308,238926.378156
16,scRNA,726.672072072,593.032258065,718.666666667,571.0,746.1723153639999,516.833333333,902.01718474,736.166666667,954.166666667,303.538461538
17,Retroposon,1468.36563028,1233.36487169,1557.62549098,1006.88777249,1277.62272323,943.8943949039999,1365.09370141,1384.897362,1671.16105096,1106.77753654
