,0,S1,S2,S4,S5,S8,S11,S12,S13,S14,S15
0,MER11B,20780,11421,10834,10741,19684,10299,14205,12101,17809,15090
1,MER44B,1149,755,1922,864,921,693,946,941,1111,739
2,UCON80_AMi,151,83,103,127,109,38,149,157,155,92
3,MSTA1,92,129,290,136,117,127,141,150,270,47
4,MLT1E1-int,0,4,24,12,4,0,0,0,0,0
5,UCON27,8,20,4,12,60,0,4,28,12,16
6,MER96B,201,292,394,213,322,246,302,277,407,250
7,MLT1E2-int,12,23,46,68,49,4,35,64,7,12
8,UCON29,70,53,24,56,39,0,52,16,7,68
9,Zaphod2,229,98,201,106,234,87,174,132,147,137
10,MER41E,157,98,96,126,106,35,101,26,95,0
11,MER41D,141,112,90,70,142,76,102,75,139,54
12,MER41G,16,64,64,40,12,12,32,12,32,56
13,MLT2B3,801,596,1109,684,722,649,646,599,907,818
14,LTR82B,167,226,181,141,195,222,155,221,275,233
15,UCON26,79,8,76,12,55,72,8,44,24,8
16,MER41C,122,151,142,126,102,60,112,66,102,72
17,CR1-L3A_Croc,44,12,66,44,32,36,44,26,35,0
18,L1M4a2,331,358,662,418,443,343,476,497,432,278
19,L1M4a1,482,623,900,650,862,364,736,500,805,363
20,UCON19,0,0,0,12,0,0,0,0,0,0
21,MER96,138,100,168,88,139,104,172,235,111,174
22,MER20B,1002,1053,1667,1146,1310,764,1338,1116,1394,1241
23,LTR82A,176,137,323,145,242,152,276,182,308,173
24,MLT1E3,290,299,596,256,440,288,336,255,443,315
25,LTR35A,0,4,8,32,48,28,8,20,8,36
26,LTR35B,8,32,16,44,55,8,36,12,24,0
27,MER95,15,16,72,36,72,35,55,54,71,61
28,MER44A,1625,1261,2033,1545,2008,1216,1583,1229,2099,1970
29,MSTB2,317,305,585,257,261,206,348,235,453,181
30,CER,114,106,140,101,55,41,48,28,68,70
31,AluYh7,5,5,10,18,10,6,10,5,21,5
32,Charlie15b,691,635,841,473,837,429,654,511,602,354
33,LTR52-int,0,27,83,31,8,32,0,20,17,26
34,Charlie15a,1107,1124,1730,806,1339,798,1100,1169,1163,492
35,LTR85c,226,203,235,101,143,102,202,222,232,92
36,LTR85b,176,70,194,116,167,49,109,80,174,34
37,LTR85a,187,243,284,207,327,177,308,279,375,189
38,MER97b,0,0,4,0,8,0,0,0,4,0
39,Tigger12c,259,169,266,287,275,96,214,196,347,297
40,AluYh9,2,8,1,1,1,1,7,1,1,1
41,LTR66,29,23,126,24,32,71,48,22,28,16
42,LTR103_Mam,10,32,90,24,25,32,82,8,39,40
43,LTR61,12,54,48,16,69,28,32,120,19,4
44,tRNA-Leu-TTA_m_,139,64,285,52,76,27,140,52,159,192
45,FordPrefect_a,40,4,36,16,39,0,35,0,16,47
46,UCON67,0,0,0,0,0,0,16,4,4,16
47,LTR60,24,1,30,16,0,0,16,0,10,0
48,tRNA-Leu-CTY,0,0,0,16,16,0,0,3,0,0
49,LTR60B,8,20,63,4,8,16,29,36,10,8
50,UCON58,0,7,0,0,0,0,0,0,0,0
51,UCON59,0,0,0,24,0,28,0,0,12,24
52,UCON24,0,0,0,0,0,0,0,0,0,0
53,UCON57,0,0,0,0,0,0,0,12,0,0
54,UCON54,19,32,119,27,24,4,4,8,72,16
