,0,S27,S28,S37,S38
0,srpRNA,68941.0561063,71076.43645830001,125163.457422,148194.69866300002
1,LTR,199093.380515,197385.528099,184299.235677,219394.79475
2,Satellite,4102.18038988,3106.00128176,2544.37754188,4675.74126676
3,rRNA,14804.666666699999,21860.502564099996,21430.668379,30471.3777778
4,DNA,156207.722108,152497.271961,124415.318777,152595.243266
5,snRNA,8665.01724138,13015.2104624,16886.0,18679.2521392
6,SINE?,0.0,0.0,0.0,0.0
7,Unknown,1488.0,1341.50789829,1157.00342466,1616.0
8,RNA,54263.3095238,71626.7061355,125303.885714,126816.70202000001
9,DNA?,1107.0,861.002564103,605.001712329,906.0
10,LTR?,1511.50518135,1721.50789829,1374.00342466,1353.0
11,RC?,406.0,316.0,378.0,521.0
12,tRNA,527.0,524.0,2549.0,1292.0
13,RC,320.0,312.011847432,212.0,326.0
14,LINE,552388.1047939999,541744.3186229999,419455.19806100003,519302.63988800003
15,SINE,309211.087967,298597.632927,264123.108197,309317.615441
16,scRNA,674.2166666669999,639.3372824769999,676.349081365,943.666666667
17,Retroposon,982.752839495,1069.02399761,871.392587114,1126.26812088
