,gene,class,family,S29,S30,S21,S22
0,MER11B,LTR,ERVK,17909,17001,19738,12830
1,MER44B,DNA,TcMar-Tigger,902,1631,1310,1019
2,UCON80_AMi,Unknown,Unknown,80,164,120,87
3,MSTA1,LTR,ERVL-MaLR,144,246,167,116
4,MLT1E1-int,LTR,ERVL-MaLR,0,8,0,0
5,UCON27,Unknown,Unknown,51,32,8,0
6,MER96B,DNA,hAT-Tip100,384,458,311,326
7,MLT1E2-int,LTR,ERVL-MaLR,69,56,118,20
8,UCON29,DNA,PiggyBac?,8,83,48,20
9,Zaphod2,DNA,hAT-Tip100,83,157,276,159
10,MER41E,LTR,ERV1,141,77,181,122
11,MER41D,LTR,ERV1,159,86,68,76
12,MER41G,LTR,ERV1,24,16,12,24
13,MLT2B3,LTR,ERVL,601,953,921,579
14,LTR82B,LTR,ERVL,173,267,203,195
15,UCON26,Unknown,Unknown,52,88,48,24
16,MER41C,LTR,ERV1,38,169,147,96
17,CR1-L3A_Croc,LINE,CR1,28,92,64,98
18,L1M4a2,LINE,L1,457,710,407,385
19,L1M4a1,LINE,L1,715,1115,605,604
20,UCON19,Unknown,Unknown,0,8,0,8
21,MER96,DNA,hAT-Tip100,97,146,154,62
22,MER20B,DNA,hAT-Charlie,1186,2039,1359,1221
23,LTR82A,LTR,ERVL,223,471,388,259
24,MLT1E3,LTR,ERVL-MaLR,328,484,361,385
25,LTR35A,LTR,ERV1,0,32,68,8
26,LTR35B,LTR,ERV1,4,68,52,36
27,MER95,LTR,ERV1,28,56,72,44
28,MER44A,DNA,TcMar-Tigger,1953,2435,2768,2339
29,MSTB2,LTR,ERVL-MaLR,152,628,482,373
30,CER,Satellite,Satellite,39,106,51,77
31,AluYh7,SINE,Alu,4,10,22,5
32,Charlie15b,DNA,hAT-Charlie,606,985,765,573
33,LTR52-int,LTR,ERVL,12,43,68,32
34,Charlie15a,DNA,hAT-Charlie,997,1540,1561,1546
35,LTR85c,LTR,Gypsy?,202,302,309,208
36,LTR85b,LTR,Gypsy?,63,302,129,88
37,LTR85a,LTR,Gypsy?,270,348,308,254
38,MER97b,DNA,hAT-Tip100,20,32,16,8
39,Tigger12c,DNA,TcMar-Tigger,345,529,318,303
40,AluYh9,SINE,Alu,1,15,14,5
