,0,S29,S30,S39,S40
0,srpRNA,79102.0609541,77008.7024008,122097.972381,249451.450131
1,LTR,191823.447464,282034.351738,227254.333181,383071.744677
2,Satellite,2996.40635738,4510.69274731,4108.48314541,5414.670195000001
3,rRNA,9946.30952381,12773.5,20921.1,60316.3021505
4,DNA,148412.98590899998,230931.450325,162809.458789,220910.589571
5,snRNA,11122.050877200001,12415.2338831,20459.8127765,42558.1450077
6,SINE?,0.0,12.0,0.0,0.0
7,Unknown,1248.01069519,2169.0,1682.00485437,1406.0
8,RNA,99879.78174600001,94593.89390139999,128790.641667,262256.16257600003
9,DNA?,755.010695187,1385.0,846.0,1132.0
10,LTR?,1505.02139037,2257.0,1589.00840638,2460.04062098
11,RC?,317.0,200.0,533.0,810.0
12,tRNA,531.5,586.5,1338.0,2495.5
13,RC,211.015119966,513.0,287.003552006,407.0
14,LINE,512697.369653,886226.177864,575933.4713239999,872362.4201059999
15,SINE,316290.479453,424100.39294,336083.350585,511285.075354
16,scRNA,585.833333333,798.836917563,1151.35820761,1779.75
17,Retroposon,1247.71682845,1650.26728264,1163.00113127,3228.14961035
