,0,S29,S30,S39,S40
0,rRNA,9946.30952381,12773.5,20921.1,60316.3021505
1,TcMar,68.0,87.0,51.0,4.0
2,hAT-Tip100,7056.498256300001,10206.908941299998,7658.32966584,12884.2436146
3,ERVL-MaLR,78012.32212330001,117226.181868,90218.79115650001,153418.633714
4,PIF-Harbinger,0.0,4.0,0.0,0.0
5,ERVL,31359.565936799998,48751.1425111,36184.8523077,62216.098776900006
6,ERVK,24079.225177700002,26950.760319300003,35693.355241000005,67786.3281534
7,hAT-Tip100?,427.5,554.0,431.5,710.0
8,Merlin,48.0,92.0,0.0,8.0
9,Unknown,1248.01069519,2169.0,1682.00485437,1406.0
10,hAT-Charlie,75949.8700062,111781.27052,82903.2448329,110008.234946
11,MIR,137965.523402,206464.93882100002,148493.712456,221130.19072800002
12,5S-Deu-L2,1649.5,1937.0,1663.0,2247.5
13,snRNA,11122.050877200001,12415.2338831,20459.8127765,42558.1450077
14,RTE-BovB,8145.01069519,8350.5,7050.00170358,12279.5021505
15,Satellite,625.0,1057.0,700.007104013,1389.00215054
16,hAT?,127.0,318.008028674,102.00876034,307.120421245
17,Gypsy,2553.23676448,3393.77213172,2586.36113028,3126.91908079
18,Helitron?,317.0,200.0,533.0,810.0
19,TcMar-Pogo,0.0,0.0,0.0,0.0
20,scRNA,585.833333333,798.836917563,1151.35820761,1779.75
21,DNA?,755.010695187,1385.0,846.0,1132.0
22,TcMar-Mariner,3897.57043315,6644.04154219,4336.05232826,6731.42352532
23,centr,2347.40635738,3418.69274731,3371.47604139,3942.66804446
24,acro,3.0,14.0,1.0,0.0
25,telo,21.0,21.0,36.0,83.0
26,LTR,301.0,620.0,334.0,552.0064516130001
27,DNA,318.0,528.0,473.0,549.0
28,hAT-Ac,3611.5,4577.33333333,3528.0,5166.0
29,PiggyBac,727.0,1228.50444444,709.5136619589999,899.502150538
30,SVA,1247.71682845,1650.26728264,1163.00113127,3228.14961035
31,TcMar-Tc2,1713.03835178,3329.02427388,2162.05088633,2870.10255978
32,RTE-X,3055.03502462,6194.50358423,3994.51065602,4960.01356033
33,L2,177674.472973,268548.593498,204951.157373,356832.226803
34,L1,300375.241609,569874.143613,336565.34952399996,461734.408009
35,Dong-R4,87.0,154.0,90.0,191.0
36,tRNA-Deu,166.0,286.0,124.0,419.0
37,srpRNA,79102.0609541,77008.7024008,122097.972381,249451.450131
38,hAT-Blackjack,3137.03799187,5149.52871833,3100.08933925,4214.6387168
39,ERVL?,622.0,743.0,671.003552006,1711.0
40,CR1,23088.609352,32532.4371685,22724.452066799997,35558.269583099995
41,PiggyBac?,8.0,83.0,12.0,143.0
42,Gypsy?,846.2006650610001,1378.88866359,978.617213965,1337.50215054
43,MULE-MuDR,272.699690402,472.270689655,356.046239709,834.406594514
44,TcMar-Tigger,49928.2604839,84192.5553891,55910.61093919999,73705.90458300001
45,tRNA,1596.5,1851.5,2394.0,5004.5
46,RNA,99879.78174600001,94593.89390139999,128790.641667,262256.16257600003
47,SINE?,0.0,12.0,0.0,0.0
48,ERV1?,49.0106951872,177.0,201.00355200599998,83.0185185185
49,tRNA-RTE,2978.01069519,3698.5,3393.0,5827.00215054
50,Penelope,272.0,572.0,558.0,807.0
51,Helitron,211.015119966,513.0,287.003552006,407.0
52,ERV1,54000.8861013,82793.6062445,60386.3490275,92840.2378317
53,hAT-Tag1,4.0,47.0,16.0,0.0
54,TcMar?,0.0,4.0,0.0,0.0
55,Alu,172466.445355,210448.954119,181353.638128,279152.382476
56,hAT,1119.01069519,1633.00444444,1060.0121357,1875.01245982
57,LTR?,1505.02139037,2257.0,1589.00840638,2460.04062098
