,0,S3,S6,S7,S9,S10
0,rRNA,17138.1,19565.5,8102.50361024,20764.0,23882.001470599997
1,TcMar,44.03370786520001,16.0026041667,44.0010559662,0.022727272727299998,44.0
2,hAT-Tip100,9118.86792301,6447.20959822,6557.18912502,6103.35606061,5354.14751325
3,ERVL-MaLR,104674.721345,70439.02244510001,74694.34846960001,78305.7116471,67605.9098093
4,PIF-Harbinger,0.0,0.0,0.0,0.0,0.0
5,ERVL,46397.6932621,31211.294077099996,34282.258443599996,32423.0474,28718.888047200002
6,ERVK,21250.5689536,17928.028827000002,19642.823183099998,31348.043263099997,15824.716147
7,hAT-Tip100?,510.0,340.0,305.003610245,375.0,510.0
8,Merlin,39.0,28.0,28.0010559662,4.0,32.0
9,Unknown,1891.00497512,1679.5,1256.20699932,659.0,1399.00147059
10,hAT-Charlie,104987.91971599999,77751.53810030001,74284.7878787,55816.678342499996,64447.033048000005
11,MIR,184302.093295,131887.182532,135437.20549700002,115540.597428,119171.10636700001
12,5S-Deu-L2,1562.0,1775.5,1564.00233311,1339.5,1234.0
13,snRNA,10074.6287956,8750.13572039,7923.69781765,20163.6,9117.09090909
14,RTE-BovB,8618.75,7775.0,8696.33566644,6587.0,6438.71317092
15,Satellite,876.5,674.0,583.0184868719999,711.0,362.504411765
16,hAT?,162.00854700899998,162.013379751,101.021299607,176.0,95.0232641517
17,Gypsy,3341.88346349,2729.51282503,2852.44178909,1970.24126984,2312.79777608
18,Helitron?,337.0,218.0,346.00105596599997,211.0,234.0
19,TcMar-Pogo,0.0,0.0,0.0,0.0,0.0
20,scRNA,915.976190476,620.513379751,657.171111705,715.166666667,616.334803922
21,DNA?,1242.0,1078.0,893.0046662110001,365.0,767.5014705880001
22,TcMar-Mariner,5983.01828358,5180.55083175,5216.03815782,3548.02272727,3790.01932777
23,centr,1961.42188126,1713.18582435,1291.89388772,1178.10210165,1432.83004162
24,acro,6.0,3.0,8.0,8.0,0.0
25,telo,63.0,9.0,4.00233310542,3.0,5.0
26,LTR,473.003012048,321.0,278.011472979,161.0,244.00967518299998
27,DNA,591.0,583.0,409.002333105,241.0,396.0
28,hAT-Ac,4138.83333333,4102.0026455,3642.33566644,3591.16666667,3353.16666667
29,PiggyBac,957.0030120480001,743.0,642.5177351,302.0,706.514325483
30,SVA,1758.35604331,1190.75519933,1341.35103037,1230.47865511,1133.0462595000001
31,TcMar-Tc2,3629.15211375,2178.00524967,1726.32550024,1699.04825871,1617.02727269
32,RTE-X,5767.04470709,3125.01520678,2813.02724888,1935.0,2573.02401539
33,L2,243256.598288,161750.395123,174928.407895,158457.487412,151508.114497
34,L1,483583.92953599995,316604.61593,294881.032082,205875.981427,258930.73534299998
35,Dong-R4,221.0,46.0,56.0010559662,63.0,93.0
36,tRNA-Deu,190.0,161.0,187.002333105,165.0,55.0
37,srpRNA,47378.2299477,48416.9583741,56010.85743740001,112585.653195,46800.861316300005
38,hAT-Blackjack,4257.5488498,2680.1304187,2970.69427852,2794.55492537,2498.04627646
39,ERVL?,723.0,510.0,542.0057221769999,398.0,477.001470588
40,CR1,31652.914134799998,22879.738507299997,22751.0585091,21082.022727300002,20233.7889878
41,PiggyBac?,122.0,27.0,55.0010559662,71.0,13.0
42,Gypsy?,1134.77903418,868.5052496689999,814.049679648,809.95,894.758870134
43,MULE-MuDR,634.65,236.010499339,406.009111249,405.27272727300004,298.407778768
44,TcMar-Tigger,74073.21063280001,52099.0059966,50945.4852875,36898.559639499996,43278.6397495
45,tRNA,2292.0,1554.0,2279.0,2404.0,1660.0
46,RNA,46793.5722222,47929.580409400005,47096.3350434,131294.107937,50515.4440476
47,SINE?,0.0,0.0,0.0,0.0,0.0
48,ERV1?,160.033707865,113.0,102.003389072,43.0,60.0014705882
49,tRNA-RTE,3637.0,3984.0,3271.00233311,2135.0,2694.00147059
50,Penelope,337.0,273.0,368.0,396.0,318.0
51,Helitron,471.00833333300005,275.0,292.004445038,273.0,403.00483759199994
52,ERV1,76355.55521880001,56677.13452030001,57640.3835987,49549.8209501,48104.352641900005
53,hAT-Tag1,35.0,64.0,8.0,12.0,12.0
54,TcMar?,8.0,4.0,0.0,0.0,0.0
55,Alu,208953.806253,170165.450573,171181.103249,133409.78311800002,135576.422833
56,hAT,1396.50301205,806.0,811.0046662110001,739.0,836.004837592
57,LTR?,2167.07826837,1502.00595238,1452.03030724,1217.02272727,1201.00630818
