,0,S3,S6,S7,S9,S10
0,MER11B,12639,11669,13104,26413,10848
1,MER44B,1648,981,888,1135,854
2,UCON80_AMi,181,112,104,56,100
3,MSTA1,143,144,116,119,104
4,MLT1E1-int,0,0,16,0,20
5,UCON27,19,0,20,0,8
6,MER96B,425,255,216,226,151
7,MLT1E2-int,62,48,57,48,38
8,UCON29,122,27,55,71,13
9,Zaphod2,167,196,205,24,40
10,MER41E,140,131,99,129,135
11,MER41D,222,48,87,80,52
12,MER41G,20,52,24,28,0
13,MLT2B3,1033,557,760,923,579
14,LTR82B,256,131,238,216,164
15,UCON26,34,52,0,15,34
16,MER41C,181,104,127,97,65
17,CR1-L3A_Croc,49,38,44,36,59
18,L1M4a2,652,538,488,284,316
19,L1M4a1,1185,473,579,456,484
20,UCON19,0,0,0,0,0
21,MER96,171,135,162,119,92
22,MER20B,1673,1019,1118,756,826
23,LTR82A,232,207,226,72,197
24,MLT1E3,555,331,287,330,282
25,LTR35A,36,12,16,8,28
26,LTR35B,24,24,32,7,20
27,MER95,63,72,48,57,24
28,MER44A,2287,1681,1735,1141,1394
29,MSTB2,505,281,329,467,388
30,CER,96,53,48,44,29
31,AluYh7,5,6,6,13,11
32,Charlie15b,979,707,597,419,481
33,LTR52-int,48,0,27,39,4
34,Charlie15a,1622,1469,1120,484,1056
35,LTR85c,162,260,183,205,224
36,LTR85b,156,81,117,110,80
37,LTR85a,357,201,305,116,316
38,MER97b,4,0,8,0,20
39,Tigger12c,293,171,275,224,151
40,AluYh9,9,2,1,1,1
41,LTR66,76,41,44,52,17
42,LTR103_Mam,88,45,44,16,12
43,LTR61,49,92,68,24,41
44,tRNA-Leu-TTA_m_,117,84,182,119,84
45,FordPrefect_a,16,40,44,0,48
46,UCON67,16,4,0,0,0
47,LTR60,4,6,0,1,5
48,tRNA-Leu-CTY,0,0,0,0,0
49,LTR60B,40,9,6,4,28
50,UCON58,0,0,0,0,0
51,UCON59,0,0,12,0,0
52,UCON24,0,8,0,0,0
53,UCON57,12,0,0,0,0
54,UCON54,40,44,36,18,60
55,UCON55,183,111,124,72,96
56,UCON53,11,1,0,0,4
57,HERVKC4-int,32,16,12,15,49
58,LSAU,0,0,0,0,0
59,Chap1_Mam,577,406,373,339,414
60,LTR3,179,211,249,293,148
61,X5B_LINE,25,30,18,7,36
62,AluSg7,1397,1136,1359,995,993
63,AluYi6_4d,28,27,35,39,18
64,LTR4,99,60,89,82,49
65,LTR5,47,34,57,24,34
66,LTR8,1373,1129,1032,926,1069
67,LTR9,252,126,142,137,106
68,UCON66,0,0,0,0,24
69,ORSL,190,175,191,125,141
70,X9_LINE,389,593,554,675,383
71,MER57C2,33,12,23,23,0
72,HERVH48-int,266,79,181,127,195
73,MER57C1,21,77,49,52,26
74,LTR13A,235,231,168,144,100
75,hAT-16_Crp,0,0,0,0,0
76,MSTB1-int,116,4,67,11,60
77,tRNA-Asn-AAT,0,0,0,0,0
78,L1PB3,2751,1579,1396,1810,1657
79,MER115,555,423,477,438,362
80,Tigger13a,1209,914,774,500,709
81,MER117,1462,1048,1150,1052,820
82,MER110,79,62,44,51,80
83,MER112,2018,1621,1200,664,1030
84,L1PB1,6513,3434,2997,2911,2595
85,MER74A,502,402,443,536,487
86,HERVK11D-int,14,8,0,0,0
87,LTR13_,46,29,45,28,27
88,MER119,476,393,219,241,316
89,MER5C1,307,116,132,245,82
90,PABL_A,186,107,181,73,161
91,LTR38,20,44,32,24,4
92,ALR_Alpha,1555,1440,1044,759,1028
93,MamGypLTR3,40,30,21,40,79
94,MER65-int,216,121,60,81,33
95,MLT1K,4112,3149,3105,2343,2857
96,LTR32,475,219,317,439,277
97,LTR33,1708,1139,1119,1576,1091
98,L1MA10,1371,848,825,671,730
99,LTR31,66,52,32,8,36
100,AluYg6,91,29,40,43,37
101,LTR34,123,84,54,112,24
102,LTR35,94,11,32,12,16
103,MLT2B2,279,203,272,180,210
104,HERVK13-int,318,153,177,159,194
105,UCON25,0,0,0,0,0
106,Tigger17a,1727,1103,1283,864,1148
107,L1P1,1163,628,577,504,594
108,L1P3,1740,995,971,597,890
109,L1P2,1575,1001,797,636,814
110,L1P5,60,33,42,19,13
111,L1P4,1011,741,684,426,536
112,LTR108b_Mam,12,8,4,0,12
113,LTR21A,2310,2930,2826,2454,2305
114,tRNA-Arg-AGA,0,8,0,0,4
115,LTR21C,0,0,0,0,0
116,LTR21B,32,16,8,12,4
117,LTR86B1,148,114,163,56,175
118,LTR86B2,38,36,39,32,9
119,UCON103,0,0,0,0,0
120,UCON101,0,0,0,0,0
121,L1PB,462,305,226,86,177
122,UCON107,35,64,8,12,12
123,ERV3-16A3_LTR,192,120,118,57,52
124,tRNA-Glu-GAA,54,21,13,107,35
125,LTR18A,46,32,36,4,24
126,LTR18C,8,20,3,0,4
127,LTR18B,99,60,76,68,36
128,ERV24_Prim-int,116,96,112,70,28
129,MER70C,69,4,24,24,40
130,LTR3B,17,0,9,3,0
131,LTR3A,111,68,65,100,37
132,MSTA,4484,2494,3070,2853,2450
133,MSTB,2513,1554,1823,1780,1495
134,LTR59,24,0,40,27,0
135,MER11D,18,5,42,23,19
136,LTR108a_Mam,22,16,50,0,75
137,GSATII,1,3,0,37,5
138,ERVL47-int,20,20,40,31,52
139,MER11C,352,232,316,93,234
140,MER83B,39,23,33,82,14
141,LTR24C,90,23,20,19,62
142,LTR54,189,172,187,120,143
143,tRNA-Pro-CCY,4,4,4,0,4
144,MER129,24,28,12,23,23
145,MER6C,52,18,21,1,12
146,LTR16B,181,128,68,67,152
147,MER6A,832,417,451,230,443
148,MER130,32,36,47,8,8
149,Tigger15a,2535,1773,1502,1100,1256
150,Tigger2b_Pri,901,489,627,469,665
151,Kanga11a,245,174,111,143,26
152,MER131,590,556,416,145,353
153,THE1D,2209,1308,1551,1493,1441
154,Ricksha_c,343,109,201,232,178
155,FordPrefect,434,272,163,369,258
156,Charlie10a,103,120,107,31,76
157,L1M3c,282,178,127,43,102
158,Charlie10b,132,52,44,19,82
159,L1M3f,382,256,152,223,92
160,L1M3d,115,88,59,56,48
161,L1M3e,408,224,438,410,344
162,LTR47B4,20,12,16,0,47
163,MLT2C2,175,98,150,199,82
164,MER92C,4,12,16,0,8
165,MER92B,411,392,335,225,395
166,CR1-13_AMi,31,32,32,4,19
167,MER134,0,4,0,4,0
168,LTR47B2,55,47,29,29,45
169,LTR47B3,40,8,24,84,24
170,LTR1A2,421,271,217,381,237
171,MER51A,547,457,209,158,423
172,MER51B,137,89,156,139,88
173,LTR1A1,61,48,57,24,42
174,MER51D,60,40,25,43,1
175,MER51E,36,52,20,0,67
176,Tigger5,294,270,246,211,206
177,HERV4_I-int,379,204,223,152,180
178,LTR86C,128,68,100,171,80
179,MER45C,418,148,139,374,246
180,MER45B,233,149,138,141,215
