,0,S1,S2,S4,S5,S8
0,srpRNA,84698.112034,47145.4905257,42489.616165199994,44842.23647719999,79129.6597916
1,LTR,211830.641556,167725.233848,260130.26256799998,172427.960257,210469.652523
2,Satellite,3967.21190988,3621.50373253,4231.61424768,2628.33842288,3914.97116168
3,rRNA,36059.264734300006,33585.0066412,64051.001996000006,44496.7672627,26834.0
4,DNA,151826.215016,128304.40091,210293.68984500002,126851.63648399999,161388.543427
5,snRNA,12203.448717899999,6947.39934392,11511.1686627,10092.0838881,11103.234505299999
6,SINE?,0.0,0.0,8.0,0.0,0.0
7,Unknown,1697.00201207,1337.0,2349.0,1182.0,1799.0
8,RNA,76794.7344988,42979.8857143,50063.7053571,49558.203968300004,73267.2428571
9,DNA?,947.0,757.0,1021.0,701.0,857.001356852
10,LTR?,1674.00393885,1509.00678552,2031.00698155,1237.0031348,1488.03099425
11,RC?,416.0,248.0,255.001996008,301.0,304.0
12,tRNA,889.0,735.5,843.001996008,632.0,551.0
13,RC,399.50192678199994,269.0,575.003992016,443.0,361.004070556
14,LINE,522801.494119,453985.818683,779213.370479,471704.74243199994,547041.622451
15,SINE,330844.331834,269831.35668699996,390148.263556,255933.13990100002,330542.24182199995
16,scRNA,726.672072072,593.032258065,718.666666667,571.0,746.1723153639999
17,Retroposon,1468.36563028,1233.36487169,1557.62549098,1006.88777249,1277.62272323
