,0,S1,S2,S4,S5,S8
0,rRNA,36059.264734300006,33585.0066412,64051.001996000006,44496.7672627,26834.0
1,TcMar,32.0,12.0,28.0,4.003125,52.0013568521
2,hAT-Tip100,6655.09335675,5531.21795389,10216.8587606,6102.00461403,7865.82780878
3,ERVL-MaLR,82419.01788110001,67743.1300162,105981.585957,69571.7299905,81890.2700415
4,PIF-Harbinger,0.0,0.0,0.0,0.0,0.0
5,ERVL,34627.7847701,29893.821046200002,48033.982381199996,31075.492986299996,35140.5478243
6,ERVK,28287.864150300004,17053.4427451,19883.7851013,16208.5224537,27144.360956800003
7,hAT-Tip100?,467.0,244.002785515,607.0,499.003134796,403.00135685199996
8,Merlin,16.0,31.0,20.0,38.0,74.0
9,Unknown,1697.00201207,1337.0,2349.0,1182.0,1799.0
10,hAT-Charlie,77726.7907663,65794.3388805,102616.35466699999,63244.6332,83293.53939630001
11,MIR,143144.11821800002,120476.77984100001,198760.558528,121641.159382,146245.678278
12,5S-Deu-L2,1941.5,1245.5,1430.0,954.666666667,1824.50135685
13,snRNA,12203.448717899999,6947.39934392,11511.1686627,10092.0838881,11103.234505299999
14,RTE-BovB,7605.50393885,6705.0,7991.00349078,5227.16979167,8638.51493151
15,Satellite,600.670605521,657.0039999999999,1046.55554882,531.5,830.0040705560001
16,hAT?,60.0,77.0042553191,168.025885012,124.003125,206.0
17,Gypsy,3488.67397849,2537.97735016,3020.72380455,2367.26022805,2936.90737837
18,Helitron?,416.0,248.0,255.001996008,301.0,304.0
19,TcMar-Pogo,0.0,0.0,4.0,0.0,12.0
20,scRNA,726.672072072,593.032258065,718.666666667,571.0,746.1723153639999
21,DNA?,947.0,757.0,1021.0,701.0,857.001356852
22,TcMar-Mariner,4565.0707929,3863.02349287,5813.01146586,2990.51251959,4444.05570814
23,centr,3332.54130436,2945.49973253,3162.05869885,2084.83842288,3067.96709113
24,acro,12.0,0.0,0.0,0.0,6.0
25,telo,22.0,19.0,23.0,12.0,11.0
26,LTR,332.751926782,286.002785515,596.756480313,216.0,316.42719898400003
27,DNA,386.0,383.0,719.0,372.0,392.0
28,hAT-Ac,4542.00540541,3045.83333333,4473.33333333,2708.33333333,4404.00135685
29,PiggyBac,690.021766598,610.006785515,885.504985545,517.003134796,656.50700555
30,SVA,1468.36563028,1233.36487169,1557.62549098,1006.88777249,1277.62272323
31,TcMar-Tc2,1774.02565241,1824.02329615,3087.04283765,1880.02114028,2119.16135397
32,RTE-X,3308.00980449,2903.01923756,5524.51047233,3239.50939459,3296.55021761
33,L2,179745.730113,153081.505805,236866.76934099998,154823.26978499998,174656.624876
34,L1,305857.569678,270748.172856,496817.1192,288764.729255,335994.526029
35,Dong-R4,90.0039388547,49.0,71.0,94.0,76.0
36,tRNA-Deu,257.001926782,138.0,302.0,123.0,196.0
37,srpRNA,84698.112034,47145.4905257,42489.616165199994,44842.23647719999,79129.6597916
38,hAT-Blackjack,3315.55582279,2448.59732377,4688.02914776,2504.65650515,2981.10378272
39,ERVL?,684.0,426.002785515,960.001494768,494.0,673.002713704
40,CR1,25762.676645,20241.1207845,31479.9679746,19254.0642055,23940.4063962
41,PiggyBac?,70.0,53.0027855153,24.0,56.0,39.0
42,Gypsy?,933.51722197,745.470696715,1183.45897756,733.003125,864.677367895
43,MULE-MuDR,443.011271042,341.005571031,533.409971089,318.51595874599997,402.044124618
44,TcMar-Tigger,50009.6362431,43071.790355000005,75102.1031057,44798.8768922,52942.2888794
45,tRNA,1642.0,1608.0,1980.00199601,1422.0,1502.0
46,RNA,76794.7344988,42979.8857143,50063.7053571,49558.203968300004,73267.2428571
47,SINE?,0.0,0.0,0.0,0.0,0.0
48,ERV1?,81.0039388547,72.0,110.0,56.0031347962,76.0013568521
49,tRNA-RTE,3635.5,2670.0,3512.00149477,2613.0031348,3564.0
50,Penelope,432.0,258.0,463.0,302.0,439.0
51,Helitron,399.50192678199994,269.0,575.003992016,443.0,361.004070556
52,ERV1,60976.0276881,48967.386422300006,80359.9683718,51705.948338099995,61427.457684500005
53,hAT-Tag1,32.0,24.0,0.0,40.0,59.0
54,TcMar?,0.0,4.0,8.0,8.0,0.0
55,Alu,181113.21169,144428.576846,185014.703534,129811.31071800001,177761.062188
56,hAT,1042.00393885,946.5540914510001,1300.0156859,646.069801463,1043.0112973999999
57,LTR?,1674.00393885,1509.00678552,2031.00698155,1237.0031348,1488.03099425
