,0,S1,S2,S4,S5,S8,S11,S12,S13,S14,S15
0,rRNA,36059.264734300006,33585.0066412,64051.001996000006,44496.7672627,26834.0,8270.89583333,156721.333333,30037.1333333,28640.5,49412.7
1,TcMar,32.0,12.0,28.0,4.003125,52.0013568521,0.0,12.0,16.0024752475,27.0057142857,0.0
2,hAT-Tip100,6655.09335675,5531.21795389,10216.8587606,6102.00461403,7865.82780878,5360.00592955,6944.74927098,5989.45284795,8092.40156861,6164.87179487
3,ERVL-MaLR,82419.01788110001,67743.1300162,105981.585957,69571.7299905,81890.2700415,58674.5276258,75900.40939419999,68322.3364597,88952.05808300001,61450.434734300004
4,PIF-Harbinger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ERVL,34627.7847701,29893.821046200002,48033.982381199996,31075.492986299996,35140.5478243,25569.031015700002,33658.920183999995,29886.5216606,38639.9776982,26139.0458927
6,ERVK,28287.864150300004,17053.4427451,19883.7851013,16208.5224537,27144.360956800003,14781.629053100001,19803.485257,16961.4817371,24312.251465,20012.8178905
7,hAT-Tip100?,467.0,244.002785515,607.0,499.003134796,403.00135685199996,110.004032258,484.002684564,388.00247524800005,419.0,177.0
8,Merlin,16.0,31.0,20.0,38.0,74.0,8.0,67.0,56.0,8.0,27.0
9,Unknown,1697.00201207,1337.0,2349.0,1182.0,1799.0,1072.0,1332.00470477,1657.00247525,1898.00469484,1396.0
10,hAT-Charlie,77726.7907663,65794.3388805,102616.35466699999,63244.6332,83293.53939630001,60254.0706612,78078.3750745,73162.1357171,85109.812471,60662.1136304
11,MIR,143144.11821800002,120476.77984100001,198760.558528,121641.159382,146245.678278,108457.64158800001,142964.745385,129469.90788399999,148415.204054,109138.150873
12,5S-Deu-L2,1941.5,1245.5,1430.0,954.666666667,1824.50135685,1278.5,1431.00134228,1303.5,1671.0,1372.5
13,snRNA,12203.448717899999,6947.39934392,11511.1686627,10092.0838881,11103.234505299999,4687.88793103,8469.20008067,6555.22344828,17103.1119086,9535.5
14,RTE-BovB,7605.50393885,6705.0,7991.00349078,5227.16979167,8638.51493151,5985.00403226,7153.00336248,6568.50585363,7102.25,5437.0
15,Satellite,600.670605521,657.0039999999999,1046.55554882,531.5,830.0040705560001,384.504201681,624.501342282,547.502475248,653.004694836,418.0
16,hAT?,60.0,77.0042553191,168.025885012,124.003125,206.0,48.0082339387,127.00202020200001,151.0,118.0,70.0
17,Gypsy,3488.67397849,2537.97735016,3020.72380455,2367.26022805,2936.90737837,1968.32269232,2432.28347909,2707.23430203,2666.14930403,2386.25
18,Helitron?,416.0,248.0,255.001996008,301.0,304.0,318.0,242.0,438.0,314.0,278.0
19,TcMar-Pogo,0.0,0.0,4.0,0.0,12.0,26.0,0.0,0.0,0.0,0.0
20,scRNA,726.672072072,593.032258065,718.666666667,571.0,746.1723153639999,516.833333333,902.01718474,736.166666667,954.166666667,303.538461538
21,DNA?,947.0,757.0,1021.0,701.0,857.001356852,724.0,827.0,756.002475248,820.0,682.0
22,TcMar-Mariner,4565.0707929,3863.02349287,5813.01146586,2990.51251959,4444.05570814,3787.52211759,4354.01344994,4222.54386246,5254.03177062,3724.0
23,centr,3332.54130436,2945.49973253,3162.05869885,2084.83842288,3067.96709113,2841.49762663,2797.08487938,2989.58102917,4074.43332792,2905.99283576
24,acro,12.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0
25,telo,22.0,19.0,23.0,12.0,11.0,0.0,16.0013422819,17.0,81.0,9.0
26,LTR,332.751926782,286.002785515,596.756480313,216.0,316.42719898400003,285.0,358.004704766,392.0,373.016156248,316.0
27,DNA,386.0,383.0,719.0,372.0,392.0,221.0,380.0,333.0,382.0,434.0
28,hAT-Ac,4542.00540541,3045.83333333,4473.33333333,2708.33333333,4404.00135685,2944.0,2917.00134228,3317.33333333,3624.5,2443.0
29,PiggyBac,690.021766598,610.006785515,885.504985545,517.003134796,656.50700555,566.0,659.002684564,596.003378378,672.0,483.33333333300004
30,SVA,1468.36563028,1233.36487169,1557.62549098,1006.88777249,1277.62272323,943.8943949039999,1365.09370141,1384.897362,1671.16105096,1106.77753654
31,TcMar-Tc2,1774.02565241,1824.02329615,3087.04283765,1880.02114028,2119.16135397,1880.01388366,2163.12362822,2139.0300116,2431.05421273,1521.61946387
32,RTE-X,3308.00980449,2903.01923756,5524.51047233,3239.50939459,3296.55021761,3014.0,3613.00940953,3414.02700301,4542.51510396,2945.11946387
33,L2,179745.730113,153081.505805,236866.76934099998,154823.26978499998,174656.624876,134876.371522,176650.502076,154134.71893499998,184734.777871,139645.688397
34,L1,305857.569678,270748.172856,496817.1192,288764.729255,335994.526029,240563.008293,303887.098469,303178.586663,387981.274792,257809.509511
35,Dong-R4,90.0039388547,49.0,71.0,94.0,76.0,73.0,106.0,108.0,77.0,118.0
36,tRNA-Deu,257.001926782,138.0,302.0,123.0,196.0,209.0,173.001342282,184.0,196.0,130.0
37,srpRNA,84698.112034,47145.4905257,42489.616165199994,44842.23647719999,79129.6597916,42142.833127900005,57181.612400800004,48617.048954000005,70821.50108069999,61816.3092178
38,hAT-Blackjack,3315.55582279,2448.59732377,4688.02914776,2504.65650515,2981.10378272,2431.02518309,2819.22352559,2692.08508586,3612.04635396,2490.4527972
39,ERVL?,684.0,426.002785515,960.001494768,494.0,673.002713704,330.0,670.002684564,387.0,685.0,575.0
40,CR1,25762.676645,20241.1207845,31479.9679746,19254.0642055,23940.4063962,19292.559279900004,23146.0208393,22699.4631186,24773.370851099997,18675.014376400002
41,PiggyBac?,70.0,53.0027855153,24.0,56.0,39.0,0.0,52.0,16.0,7.0,68.0
42,Gypsy?,933.51722197,745.470696715,1183.45897756,733.003125,864.677367895,554.333333333,971.428760762,834.197925818,1248.82033046,604.43452381
43,MULE-MuDR,443.011271042,341.005571031,533.409971089,318.51595874599997,402.044124618,182.0,398.57271371400003,476.611707252,521.072219584,468.0
44,TcMar-Tigger,50009.6362431,43071.790355000005,75102.1031057,44798.8768922,52942.2888794,39805.6069818,49441.6668225,47538.46130530001,59370.4698663,41951.838305699996
45,tRNA,1642.0,1608.0,1980.00199601,1422.0,1502.0,1447.0,1866.0,1570.0,1813.0,1373.0
46,RNA,76794.7344988,42979.8857143,50063.7053571,49558.203968300004,73267.2428571,33031.6095238,43618.2357143,37835.0844988,72270.9004329,74081.25
47,SINE?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,ERV1?,81.0039388547,72.0,110.0,56.0031347962,76.0013568521,47.013168514499995,110.003362484,63.0,123.005714286,40.0
49,tRNA-RTE,3635.5,2670.0,3512.00149477,2613.0031348,3564.0,2655.0,3314.0020202,2889.0,3061.0,2145.0
50,Penelope,432.0,258.0,463.0,302.0,439.0,235.0,348.0,285.0,306.0,204.0
51,Helitron,399.50192678199994,269.0,575.003992016,443.0,361.004070556,151.0,315.004704766,274.003378378,321.0,237.0
52,ERV1,60976.0276881,48967.386422300006,80359.9683718,51705.948338099995,61427.457684500005,44745.345394699994,56791.86494759999,50935.1449161,62936.601050900004,44249.00967780001
53,hAT-Tag1,32.0,24.0,0.0,40.0,59.0,60.0,4.00134228188,96.0,55.0,0.0
54,TcMar?,0.0,4.0,8.0,8.0,0.0,0.0,16.0,0.0,0.0,0.0
55,Alu,181113.21169,144428.576846,185014.703534,129811.31071800001,177761.062188,130477.47788800001,176632.367292,160863.053538,174310.494254,125376.72728299999
