,0,S3,S6,S7,S9,S10,S16,S17,S18,S19,S20
0,srpRNA,47378.2299477,48416.9583741,56010.85743740001,112585.653195,46800.861316300005,34913.0714937,69337.79109730001,33887.699927099995,55715.5389296,59676.8654638
1,LTR,254511.237997,180797.497944,190848.325748,195008.81453,164242.43590799998,144976.507554,268791.24234299996,156075.05866900002,183911.662907,172872.35735799998
2,Satellite,2906.92188126,2399.18582435,1886.9147077,1900.10210165,1800.33445338,2184.25041813,3226.62575648,2205.32610355,3859.77522689,2996.13731744
3,rRNA,17138.1,19565.5,8102.50361024,20764.0,23882.001470599997,17321.6127893,37779.7857143,9180.0,22767.388888900005,8505.56766857
4,DNA,210687.749131,153447.469324,148152.41781800002,112776.682075,127281.03005999999,120531.13105499999,185490.62674100001,124191.91061099998,138777.860839,147825.255615
5,snRNA,10074.6287956,8750.13572039,7923.69781765,20163.6,9117.09090909,6181.55095997,10882.526785700002,4423.15705128,8530.0,7214.27241824
6,SINE?,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Unknown,1891.00497512,1679.5,1256.20699932,659.0,1399.00147059,1121.00627238,1456.0,954.0033726810001,1019.0,1884.00899966
8,RNA,46793.5722222,47929.580409400005,47096.3350434,131294.107937,50515.4440476,26874.7484848,52595.0666667,27319.0833333,74193.9206349,57038.838888900005
9,DNA?,1242.0,1078.0,893.0046662110001,365.0,767.5014705880001,718.0,884.0,694.0016863410001,939.0,885.006147275
10,LTR?,2167.07826837,1502.00595238,1452.03030724,1217.02272727,1201.00630818,983.0109599689999,1775.0,1065.00337268,1067.00436681,1463.00936504
11,RC?,337.0,218.0,346.00105596599997,211.0,234.0,327.0,305.052214496,209.0,399.0,221.001344086
12,tRNA,984.0,609.0,930.0,974.0,636.0,543.0,713.0,571.0,503.0,422.00299153199995
13,RC,471.00833333300005,275.0,292.004445038,273.0,403.00483759199994,310.026725088,392.00319488800005,249.00168634099998,325.0,177.00449982799998
14,LINE,773437.236666,512453.764767,504493.86245699995,394396.491566,440095.37601300003,410006.50315500004,682283.210364,443558.43859499996,491818.145957,473435.120246
15,SINE,399952.89954899997,308918.133105,312981.31574499997,254019.88054699998,259754.53067100001,262532.194493,431889.704262,247530.49484600002,279427.009111,286075.410674
16,scRNA,915.976190476,620.513379751,657.171111705,715.166666667,616.334803922,606.841190497,978.169861555,563.668353007,679.833333333,849.71470442
17,Retroposon,1758.35604331,1190.75519933,1341.35103037,1230.47865511,1133.0462595000001,1084.5444495,2253.19499759,1026.15239189,1050.8598049,960.426297681
