,0,S3,S6,S7,S9,S10,S16,S17,S18,S19,S20
0,rRNA,17138.1,19565.5,8102.50361024,20764.0,23882.001470599997,17321.6127893,37779.7857143,9180.0,22767.388888900005,8505.56766857
1,TcMar,44.03370786520001,16.0026041667,44.0010559662,0.022727272727299998,44.0,40.001584786100004,67.052214496,20.0,16.0,32.0029915325
2,hAT-Tip100,9118.86792301,6447.20959822,6557.18912502,6103.35606061,5354.14751325,4566.14283607,9700.30677261,5530.16876768,6173.53784687,6177.86641996
3,ERVL-MaLR,104674.721345,70439.02244510001,74694.34846960001,78305.7116471,67605.9098093,57944.4473407,109056.87668399999,64960.8845906,73655.422676,68392.4854112
4,PIF-Harbinger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ERVL,46397.6932621,31211.294077099996,34282.258443599996,32423.0474,28718.888047200002,24790.2958613,48847.727794599996,29520.905840299998,33211.7749616,29530.680541799997
6,ERVK,21250.5689536,17928.028827000002,19642.823183099998,31348.043263099997,15824.716147,13411.5501172,28263.469288999997,13198.4340471,18721.9525585,19755.475676599995
7,hAT-Tip100?,510.0,340.0,305.003610245,375.0,510.0,151.010959969,495.0,363.0,194.0,271.004335619
8,Merlin,39.0,28.0,28.0010559662,4.0,32.0,48.0,0.0,0.0,36.0,19.0
9,Unknown,1891.00497512,1679.5,1256.20699932,659.0,1399.00147059,1121.00627238,1456.0,954.0033726810001,1019.0,1884.00899966
10,hAT-Charlie,104987.91971599999,77751.53810030001,74284.7878787,55816.678342499996,64447.033048000005,63711.9014872,94434.072512,62587.3073947,71319.8508555,74805.6653939
11,MIR,184302.093295,131887.182532,135437.20549700002,115540.597428,119171.10636700001,111445.375725,194193.145501,116480.818775,130935.212689,127459.201697
12,5S-Deu-L2,1562.0,1775.5,1564.00233311,1339.5,1234.0,1318.56040832,1975.5,1054.0,1379.5,1747.5
13,snRNA,10074.6287956,8750.13572039,7923.69781765,20163.6,9117.09090909,6181.55095997,10882.526785700002,4423.15705128,8530.0,7214.27241824
14,RTE-BovB,8618.75,7775.0,8696.33566644,6587.0,6438.71317092,7046.33960571,9749.0,5423.25,7150.0,9216.02830935
15,Satellite,876.5,674.0,583.0184868719999,711.0,362.504411765,577.506272377,1042.0,415.001686341,858.004366812,649.674018876
16,hAT?,162.00854700899998,162.013379751,101.021299607,176.0,95.0232641517,92.00158478610001,128.0,119.0,85.0,84.0051685732
17,Gypsy,3341.88346349,2729.51282503,2852.44178909,1970.24126984,2312.79777608,2396.44182581,4123.04667315,2250.34345138,2428.43817878,2395.52239958
18,Helitron?,337.0,218.0,346.00105596599997,211.0,234.0,327.0,305.052214496,209.0,399.0,221.001344086
19,TcMar-Pogo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,scRNA,915.976190476,620.513379751,657.171111705,715.166666667,616.334803922,606.841190497,978.169861555,563.668353007,679.833333333,849.71470442
21,DNA?,1242.0,1078.0,893.0046662110001,365.0,767.5014705880001,718.0,884.0,694.0016863410001,939.0,885.006147275
22,TcMar-Mariner,5983.01828358,5180.55083175,5216.03815782,3548.02272727,3790.01932777,3289.03223237,5600.09499933,3589.00674536,4760.0,5326.04516639
23,centr,1961.42188126,1713.18582435,1291.89388772,1178.10210165,1432.83004162,1603.73945816,2129.12575648,1770.32441721,2989.77086008,2332.46329856
