,0,S3,S6,S7,S9,S10,S16,S17,S18,S19,S20
0,MER11B,12639,11669,13104,26413,10848,8737,19432,8364,12648,14083
1,MER44B,1648,981,888,1135,854,848,978,894,872,768
2,UCON80_AMi,181,112,104,56,100,132,275,124,38,219
3,MSTA1,143,144,116,119,104,136,117,87,193,52
4,MLT1E1-int,0,0,16,0,20,0,0,0,0,0
5,UCON27,19,0,20,0,8,0,0,4,0,0
6,MER96B,425,255,216,226,151,192,371,256,386,251
7,MLT1E2-int,62,48,57,48,38,21,67,54,25,57
8,UCON29,122,27,55,71,13,52,0,20,63,40
9,Zaphod2,167,196,205,24,40,98,70,170,26,116
10,MER41E,140,131,99,129,135,64,109,109,28,85
11,MER41D,222,48,87,80,52,119,112,47,32,84
12,MER41G,20,52,24,28,0,44,39,0,36,12
13,MLT2B3,1033,557,760,923,579,531,947,633,603,760
14,LTR82B,256,131,238,216,164,225,186,178,93,178
15,UCON26,34,52,0,15,34,39,31,24,0,48
16,MER41C,181,104,127,97,65,100,47,100,150,47
17,CR1-L3A_Croc,49,38,44,36,59,16,12,20,45,26
18,L1M4a2,652,538,488,284,316,396,394,289,169,416
19,L1M4a1,1185,473,579,456,484,475,336,587,745,589
20,UCON19,0,0,0,0,0,0,0,0,0,0
21,MER96,171,135,162,119,92,52,363,151,155,108
22,MER20B,1673,1019,1118,756,826,888,1533,910,1404,1066
23,LTR82A,232,207,226,72,197,232,324,210,75,188
24,MLT1E3,555,331,287,330,282,181,389,261,382,200
25,LTR35A,36,12,16,8,28,0,0,28,0,0
26,LTR35B,24,24,32,7,20,32,84,32,32,20
27,MER95,63,72,48,57,24,50,56,56,63,48
28,MER44A,2287,1681,1735,1141,1394,1491,2392,1177,1996,1876
29,MSTB2,505,281,329,467,388,274,330,271,243,274
30,CER,96,53,48,44,29,25,120,60,111,88
31,AluYh7,5,6,6,13,11,4,8,7,3,20
32,Charlie15b,979,707,597,419,481,386,669,553,328,606
33,LTR52-int,48,0,27,39,4,24,83,28,0,27
34,Charlie15a,1622,1469,1120,484,1056,842,1245,829,759,1039
35,LTR85c,162,260,183,205,224,118,311,184,100,310
36,LTR85b,156,81,117,110,80,111,17,157,83,64
37,LTR85a,357,201,305,116,316,300,440,326,173,304
38,MER97b,4,0,8,0,20,4,0,0,0,0
39,Tigger12c,293,171,275,224,151,233,280,234,229,368
40,AluYh9,9,2,1,1,1,2,5,0,81,1
41,LTR66,76,41,44,52,17,24,56,38,25,32
42,LTR103_Mam,88,45,44,16,12,12,4,20,31,19
43,LTR61,49,92,68,24,41,75,24,53,4,73
44,tRNA-Leu-TTA_m_,117,84,182,119,84,107,63,48,32,44
45,FordPrefect_a,16,40,44,0,48,43,0,12,16,20
46,UCON67,16,4,0,0,0,0,0,0,0,12
47,LTR60,4,6,0,1,5,23,0,4,0,10
48,tRNA-Leu-CTY,0,0,0,0,0,7,0,0,0,0
49,LTR60B,40,9,6,4,28,0,55,22,16,44
50,UCON58,0,0,0,0,0,0,0,0,0,0
51,UCON59,0,0,12,0,0,0,0,12,0,4
52,UCON24,0,8,0,0,0,0,0,0,0,0
53,UCON57,12,0,0,0,0,0,0,0,0,0
54,UCON54,40,44,36,18,60,8,0,12,96,4
55,UCON55,183,111,124,72,96,70,80,132,97,52
56,UCON53,11,1,0,0,4,0,0,0,0,0
57,HERVKC4-int,32,16,12,15,49,24,54,32,8,16
58,LSAU,0,0,0,0,0,0,0,0,0,0
59,Chap1_Mam,577,406,373,339,414,382,558,358,710,494
60,LTR3,179,211,249,293,148,109,398,132,157,343
61,X5B_LINE,25,30,18,7,36,20,8,27,42,28
62,AluSg7,1397,1136,1359,995,993,807,1765,794,819,946
63,AluYi6_4d,28,27,35,39,18,22,31,18,17,17
64,LTR4,99,60,89,82,49,65,94,73,62,76
65,LTR5,47,34,57,24,34,22,162,58,37,26
66,LTR8,1373,1129,1032,926,1069,1056,1389,916,1301,1039
67,LTR9,252,126,142,137,106,142,137,159,247,162
68,UCON66,0,0,0,0,24,0,0,4,0,0
69,ORSL,190,175,191,125,141,136,189,73,62,270
70,X9_LINE,389,593,554,675,383,307,511,279,538,340
71,MER57C2,33,12,23,23,0,31,131,44,45,8
72,HERVH48-int,266,79,181,127,195,64,177,178,202,88
73,MER57C1,21,77,49,52,26,31,4,28,4,17
74,LTR13A,235,231,168,144,100,110,135,116,101,140
75,hAT-16_Crp,0,0,0,0,0,0,0,0,0,0
76,MSTB1-int,116,4,67,11,60,16,100,40,47,44
77,tRNA-Asn-AAT,0,0,0,0,0,0,0,0,0,0
78,L1PB3,2751,1579,1396,1810,1657,910,1972,1456,2278,1386
79,MER115,555,423,477,438,362,303,771,465,760,343
80,Tigger13a,1209,914,774,500,709,668,909,662,898,697
81,MER117,1462,1048,1150,1052,820,710,1770,1032,1120,1011
82,MER110,79,62,44,51,80,24,4,28,128,44
83,MER112,2018,1621,1200,664,1030,1202,1697,1015,1166,1415
84,L1PB1,6513,3434,2997,2911,2595,2603,4597,3256,3624,3264
85,MER74A,502,402,443,536,487,242,849,305,832,429
86,HERVK11D-int,14,8,0,0,0,8,0,5,22,3
87,LTR13_,46,29,45,28,27,24,26,38,77,96
88,MER119,476,393,219,241,316,327,274,275,301,375
89,MER5C1,307,116,132,245,82,95,330,143,101,184
90,PABL_A,186,107,181,73,161,165,252,151,156,77
91,LTR38,20,44,32,24,4,0,0,0,13,0
92,ALR_Alpha,1555,1440,1044,759,1028,1332,1562,1149,2672,2153
93,MamGypLTR3,40,30,21,40,79,63,64,42,16,16
94,MER65-int,216,121,60,81,33,95,57,104,69,171
95,MLT1K,4112,3149,3105,2343,2857,2330,3696,2432,2966,2934
96,LTR32,475,219,317,439,277,163,372,217,136,320
97,LTR33,1708,1139,1119,1576,1091,1049,2376,1127,1117,1087
98,L1MA10,1371,848,825,671,730,792,751,846,847,860
99,LTR31,66,52,32,8,36,16,108,20,115,16
100,AluYg6,91,29,40,43,37,56,85,40,26,34
101,LTR34,123,84,54,112,24,60,144,32,36,20
102,LTR35,94,11,32,12,16,36,0,29,137,48
103,MLT2B2,279,203,272,180,210,165,286,181,264,117
104,HERVK13-int,318,153,177,159,194,109,208,136,41,95
105,UCON25,0,0,0,0,0,14,0,0,0,4
106,Tigger17a,1727,1103,1283,864,1148,879,1442,1040,998,1365
107,L1P1,1163,628,577,504,594,538,695,613,702,582
108,L1P3,1740,995,971,597,890,783,1109,934,1049,932
109,L1P2,1575,1001,797,636,814,691,1464,786,745,733
110,L1P5,60,33,42,19,13,29,3,25,63,56
111,L1P4,1011,741,684,426,536,657,732,500,816,686
112,LTR108b_Mam,12,8,4,0,12,24,0,0,0,0
113,LTR21A,2310,2930,2826,2454,2305,1805,2788,1452,1930,1930
114,tRNA-Arg-AGA,0,8,0,0,4,4,0,0,46,4
115,LTR21C,0,0,0,0,0,0,0,0,0,0
116,LTR21B,32,16,8,12,4,0,7,8,0,8
117,LTR86B1,148,114,163,56,175,111,90,100,16,122
118,LTR86B2,38,36,39,32,9,0,48,48,154,16
119,UCON103,0,0,0,0,0,0,0,0,0,0
120,UCON101,0,0,0,0,0,0,0,0,0,0
121,L1PB,462,305,226,86,177,226,285,189,259,181
122,UCON107,35,64,8,12,12,31,52,20,16,108
123,ERV3-16A3_LTR,192,120,118,57,52,154,347,92,254,212
124,tRNA-Glu-GAA,54,21,13,107,35,14,0,6,40,5
125,LTR18A,46,32,36,4,24,51,0,32,86,16
126,LTR18C,8,20,3,0,4,12,0,1,0,0
127,LTR18B,99,60,76,68,36,87,64,48,214,100
128,ERV24_Prim-int,116,96,112,70,28,24,0,59,36,41
129,MER70C,69,4,24,24,40,8,0,4,40,8
130,LTR3B,17,0,9,3,0,19,3,7,21,0
131,LTR3A,111,68,65,100,37,132,115,68,103,76
132,MSTA,4484,2494,3070,2853,2450,1849,4034,2548,2504,2627
133,MSTB,2513,1554,1823,1780,1495,1428,2907,1756,1613,1531
134,LTR59,24,0,40,27,0,27,39,0,8,24
135,MER11D,18,5,42,23,19,11,29,15,34,38
136,LTR108a_Mam,22,16,50,0,75,16,8,16,0,4
137,GSATII,1,3,0,37,5,12,8,14,6,6
138,ERVL47-int,20,20,40,31,52,8,28,36,4,8
139,MER11C,352,232,316,93,234,186,267,167,163,253
140,MER83B,39,23,33,82,14,12,83,71,24,33
141,LTR24C,90,23,20,19,62,72,32,39,24,41
142,LTR54,189,172,187,120,143,113,252,87,228,173
143,tRNA-Pro-CCY,4,4,4,0,4,36,0,0,0,0
144,MER129,24,28,12,23,23,24,84,8,0,8
145,MER6C,52,18,21,1,12,3,16,32,0,2
146,LTR16B,181,128,68,67,152,87,200,179,133,88
147,MER6A,832,417,451,230,443,249,503,401,288,316
148,MER130,32,36,47,8,8,24,71,40,0,16
149,Tigger15a,2535,1773,1502,1100,1256,1181,1559,1598,1628,1551
150,Tigger2b_Pri,901,489,627,469,665,459,749,567,353,515
151,Kanga11a,245,174,111,143,26,93,55,116,71,157
152,MER131,590,556,416,145,353,246,324,252,357,395
153,THE1D,2209,1308,1551,1493,1441,1209,2738,1348,1382,1416
154,Ricksha_c,343,109,201,232,178,98,145,168,274,152
155,FordPrefect,434,272,163,369,258,167,620,196,228,229
156,Charlie10a,103,120,107,31,76,55,115,84,119,88
