,0,S25,S26,S35,S36
0,srpRNA,98740.5624633,66480.3675082,94296.96314450001,126844.31840799999
1,LTR,165835.723719,144241.30181099998,175088.972598,198062.572163
2,Satellite,2591.68305893,3209.14643764,3184.95256668,4058.39950299
3,rRNA,10167.0,10503.0,24369.0,29253.1
4,DNA,113912.0994,101856.174616,111186.60370899999,134955.723723
5,snRNA,8085.21195652,10359.4307692,10030.134463299999,15302.125418099999
6,SINE?,0.0,0.0,0.0,0.0
7,Unknown,1539.0,1185.0,1149.0,1770.0
8,RNA,122895.396825,101386.949784,102011.288889,186803.462302
9,DNA?,731.0,673.0,758.0,1001.0
10,LTR?,1091.0,1256.0,1414.0,1246.00775194
11,RC?,185.0,57.0,164.0,152.0
12,tRNA,326.0,659.5,618.5,2632.5
13,RC,239.0,177.0,167.0,279.0
14,LINE,410022.501559,381940.581836,412274.89285999996,521137.618755
15,SINE,235301.170346,196367.22501,247636.895699,265280.060488
16,scRNA,465.83333333300004,500.0,509.36630036599996,500.33333333300004
17,Retroposon,787.817338026,864.3222290260001,1036.42977022,1160.77815415
