,0,S23,S24,S33,S34
0,srpRNA,133128.604788,63714.7810572,76897.6715492,75863.41199410001
1,LTR,315559.435544,303133.666814,239616.88822399997,184575.36372
2,Satellite,3127.07625495,4750.06697313,3477.32755016,3503.2232249
3,rRNA,15153.3628076,13077.9,26747.0,32790.0
4,DNA,191079.068833,196563.712083,161374.643051,113832.995395
5,snRNA,12558.050565000001,7890.1465495,11063.0,8204.15384615
6,SINE?,0.0,0.0,0.0,0.0
7,Unknown,2225.0020284,1735.02416179,1610.0,1076.0
8,RNA,169711.85126300002,86504.0615079,131526.630231,100012.533333
9,DNA?,754.0,996.0060698030001,860.0,698.0
10,LTR?,2407.0020284,3384.01809199,1555.0,1458.00301205
11,RC?,122.0,82.00606980270001,93.0,129.0
12,tRNA,504.0,650.0,986.0,345.0
13,RC,367.0,243.01809198599997,382.0,331.0
14,LINE,690872.012199,740204.40336,599952.8828520001,407842.594152
15,SINE,431091.65396400006,453739.04374799994,340145.789437,257966.49494
16,scRNA,598.0091743119999,630.0238095240001,576.333333333,449.345132846
17,Retroposon,2229.87055154,2307.12161232,1295.83377306,1258.8812488
