,0,S23,S24,S33,S34
0,rRNA,15153.3628076,13077.9,26747.0,32790.0
1,TcMar,51.0020283976,130.0,27.0,8.0
2,hAT-Tip100,10180.1747134,10608.835768100002,8500.28259069,6607.61978478
3,ERVL-MaLR,118225.177707,117247.807442,92206.400453,69025.4484741
4,PIF-Harbinger,4.0,0.0,0.0,0.0
5,ERVL,54720.4853515,55214.16467790001,42358.6165801,31445.5080161
6,ERVK,41248.7365736,28640.2770201,27237.2128749,25624.773511000003
7,hAT-Tip100?,393.00202839800005,558.0,495.0,294.0
8,Merlin,39.0,45.0,24.0,20.0
9,Unknown,2225.0020284,1735.02416179,1610.0,1076.0
10,hAT-Charlie,97105.6284043,100685.570106,81076.0153709,56703.854004999994
11,MIR,200251.438021,206415.262578,154412.863431,115074.85451099998
12,5S-Deu-L2,2001.5,1577.5,1389.5,1256.5
13,snRNA,12558.050565000001,7890.1465495,11063.0,8204.15384615
14,RTE-BovB,9597.5020284,10651.845355500001,5253.5,4438.00584795
15,Satellite,1219.0040568,1367.16666667,638.0,678.5
16,hAT?,265.00769315900004,240.017733332,180.0,104.0
17,Gypsy,3460.85361248,4053.77638076,2776.08004445,2137.0148841
18,Helitron?,122.0,82.00606980270001,93.0,129.0
19,TcMar-Pogo,0.0,0.0,0.0,0.0
20,scRNA,598.0091743119999,630.0238095240001,576.333333333,449.345132846
21,DNA?,754.0,996.0060698030001,860.0,698.0
22,TcMar-Mariner,6248.01254753,5867.65031847,4807.52017827,3623.05800635
23,centr,1883.07219815,3284.90030646,2815.32755016,2774.7232249000003
24,acro,0.0,5.0,2.0,8.0
25,telo,25.0,93.0,22.0,42.0
26,LTR,503.0,641.03011417,379.0,220.008860001
27,DNA,640.0,731.0,439.0,371.0
28,hAT-Ac,3981.0,4158.66666667,2370.33333333,2636.0
29,PiggyBac,464.504056795,545.534866535,857.5,465.503012048
30,SVA,2229.87055154,2307.12161232,1295.83377306,1258.8812488
31,TcMar-Tc2,2329.09814214,2469.06617433,2283.00813008,1533.01187205
32,RTE-X,4168.00972156,4502.0427724,4103.0,2514.01993657
33,L2,263914.16249,267702.128007,204734.634927,152978.349931
34,L1,382358.978792,425272.683005,361633.839087,230452.20957600002
35,Dong-R4,100.0,174.0,147.0,36.0
36,tRNA-Deu,324.0,334.0,268.0,301.0
37,srpRNA,133128.604788,63714.7810572,76897.6715492,75863.41199410001
38,hAT-Blackjack,4404.56089964,3906.08914249,3031.52017827,2405.0237441
39,ERVL?,839.0,755.0060698030001,777.0,588.0
40,CR1,30058.359166100003,31399.704219200004,23840.908837900002,17069.008859999998
41,PiggyBac?,42.0,79.0,33.0,0.0
42,Gypsy?,1076.75800207,1334.56858615,798.1875,609.508860001
43,MULE-MuDR,427.38718548199995,478.56963472800004,498.196969697,369.00584795300006
44,TcMar-Tigger,62635.6019707,64573.669770399996,55573.258169400004,37782.9043114
45,tRNA,1746.0,1510.0,1976.16666667,1179.0
46,RNA,169711.85126300002,86504.0615079,131526.630231,100012.533333
47,SINE?,0.0,0.0,0.0,0.0
48,ERV1?,125.002028398,60.0,125.0,106.0
49,tRNA-RTE,3754.0,4412.0060698,3380.0,2543.0
50,Penelope,675.0,502.0,240.0,355.0
51,Helitron,367.0,243.01809198599997,382.0,331.0
52,ERV1,95360.42226860001,95187.0365233,72959.3907711,54819.1011146
53,hAT-Tag1,82.0,32.0,28.0,47.0
54,TcMar?,32.0,12.0,0.0,4.0
55,Alu,223518.715943,240140.2751,179705.25934000002,137957.140429
56,hAT,1755.08916318,1443.04190151,1151.00813008,859.0148115610001
57,LTR?,2407.0020284,3384.01809199,1555.0,1458.00301205
