sampleName	cell	exp	p21	treatment
S1	MCF10A2e2	a	high	noTreatment
S2	MCF10A2e2	b	high	noTreatment
S3	MCF10A2e2	c	low	noTreatment
S4	MCF10A2e2	d	high	noTreatment
S5	MCF10A2e2	e	high	noTreatment
S6	MCF10A2e2	a	low	noTreatment
S7	MCF10A2e2	b	low	noTreatment
S8	MCF10A2e2	c	high	noTreatment
S9	MCF10A2e2	d	low	noTreatment
S10	MCF10A2e2	e	low	noTreatment
S11	MCF10A3b6	a	high	noTreatment
S12	MCF10A3b6	b	high	noTreatment
S13	MCF10A3b6	c	high	noTreatment
S14	MCF10A3b6	d	high	noTreatment
S15	MCF10A3b6	e	high	noTreatment
S16	MCF10A3b6	a	low	noTreatment
S17	MCF10A3b6	b	low	noTreatment
S18	MCF10A3b6	c	low	noTreatment
S19	MCF10A3b6	d	low	noTreatment
S20	MCF10A3b6	e	low	noTreatment
S21	MCF10A2e2	f	noInfo	control
S22	MCF10A2e2	g	noInfo	control
S23	MCF10A2e2	f	noInfo	serum_s
S24	MCF10A2e2	g	noInfo	serum_s
S25	MCF10A2e2	f	noInfo	meki
S26	MCF10A2e2	g	noInfo	meki
S27	MCF10A2e2	f	noInfo	cdk46i
S28	MCF10A2e2	g	noInfo	cdk46i
S29	MCF10A2e2	f	noInfo	contact_in
S30	MCF10A2e2	g	noInfo	contact_in
S31	MCF10A3b6	f	noInfo	control
S32	MCF10A3b6	g	noInfo	control
S33	MCF10A3b6	f	noInfo	serum_s
S34	MCF10A3b6	g	noInfo	serum_s
S35	MCF10A3b6	f	noInfo	meki
S36	MCF10A3b6	g	noInfo	meki
S37	MCF10A3b6	f	noInfo	cdk46i
S38	MCF10A3b6	g	noInfo	cdk46i
S39	MCF10A3b6	f	noInfo	contact_in
S40	MCF10A3b6	g	noInfo	contact_in
